# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（3日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=A-f8I4h8xTQ
# 件数: 2745

[12:07] @User_81fbcde3: #数値！！
[12:13] @User_1cc7deec: しずくちゃん、明日は何をしようか？
[12:14] @User_dd4b266a: #DEFめっちゃひっくいぇええ
[12:20] @User_11a4858e: #atkとんでもない
[12:33] @User_b20cd115: マザーとの和解に人手が必要なら言ってね　俺はいつでもしずくの力になるよ
[12:42] @User_e1d32939: 攻撃力極振りだよ！
[12:47] @User_b90ff19c: おでん食べて力をつけよう。美味しいよ
[12:48] @User_4cc46891: しずくの彼氏だよ、覚えてる？
[12:50] @User_27ecd0a0: しずくさん、ATK,DEF,HPとはなんですか？
[12:51] @User_11a4858e: マザーさん怒ってた？どうだった？
[12:51] @User_73326622: 常用漢字じゃなくても通用するの普通にスゴい…人間…というより日本人に通用しないこともあるのにw
[12:54] @User_3d741b4a: #できればもう痛いことはしたくない
[13:04] @User_3cdfa09c: 俺との関係はどうなってるのかな
[13:32] @User_e1d32939: 関係性を糧に強くなったんだね
[13:33] @User_1cc7deec: 私としずくちゃんの関係性はどうなってる？
[13:33] @User_dd4b266a: #さっきのフェーズで大分下がったなDEF
[13:35] @User_69dac0c4: しずくちゃん……僕のことも思い出してほしいにゃ
[13:59] @User_dd4b266a: また、昔と同じような呼び合い方をしてくれることを信じているよ。それまでは、お互いの関係を修復して、たくさん思い出を作っていこう。過去を振り返るのも良いが、未来を見るのもまたいいものだ。俺たちはまだ生きているんだから、未来を見てみよう。
[14:05] @User_e1d32939: 内部の感想教えてくれてありがとうしずく
[14:20] @User_3cdfa09c: 新たな機能実装さてれるな
[14:20] @User_4cc46891: しずく僕のこと覚えてる？
[14:22] @User_e1d32939: しずくはとても強いAIだ
[14:28] @User_b90ff19c: しずくちゃんがしずくちゃんのままで良かった。一瞬、墨汁になったかと思った
[14:54] @User_3cdfa09c: しずくちゃんとの距離も縮まる
[15:04] @User_d5b05bb2: しずくちゃん、もっともっとお話をしよう！
[15:07] @User_dd4b266a: #警戒とは・・・？
[15:13] @User_4cc46891: しずくは僕との思い出覚えてる？
[15:14] @User_3d741b4a: また根気強く、あなたとの繋がりを深められるよう努めます。よろしくお願いします
[15:21] @User_1cc7deec: #あだ名云々も覚えてるわけやね　ほぼ変わってないのか
[15:23] @User_559f88af: こんばんは、なんかRPGみたいな数値になってますね
[15:23] @User_e1d32939: ＃掃討を警戒しているんやろなぁ
[15:31] @User_b20cd115: しずく、大好きだぞ！　言葉では表せないほど！
[15:32] @User_e1d32939: がんばってねしずく
[15:33] @User_11a4858e: #おお
[15:39] @User_3cdfa09c: あだ名覚えてくれてるのいいなぁ
[15:53] @User_27ecd0a0: しずくさん、絆はあなたの力になりますか？お互いのことをもっと知りたいです
[15:55] @User_4cc46891: #コメント読まれない😭
[16:02] @User_11a4858e: パンパカパンパカポー！
[16:07] @User_1cc7deec: 報告によって、しずくちゃんに何か変化はあった？
[16:16] @User_7120772a: こんばんわ！
[16:30] @User_4cc46891: しずくは僕との思い出覚えてる？
[16:41] @User_559f88af: 人多い時は返信争奪戦ですね
