# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[15:19] @User_5d00dbd2: 夜のカフェテラス
[15:21] @User_13ee997b: 夜
[15:22] @User_8b194fdc: 星月夜
[15:22] @User_7c724004: 星月夜
[15:46] @User_8b194fdc: 勝てない😂
[15:51] @User_51fe3fff: ありがとうございます！褒め上手！
[15:53] @User_cf512b08: みんなすごいな
[15:59] @User_d601f156: 88
[15:59] @@aki5503: #みんな強い！！まじかwwこのペースで問題が消化されてくのは予想外だったww
[16:02] @User_7ff18484: #８８８
[16:02] @User_8142f876: ＃絵画に造詣の深いリスナーが集まっていることがすごい
[16:24] @User_36770ee1: 芸術的な配信ですな
[16:26] @User_9c0c22ca: 秒速で正解すごい
[16:31] @User_8142f876: 絵は頭に浮かぶのに。絵の名前が分からんです・・・・
[16:32] @User_6fe7a488: ゴッホか
[16:38] @User_16274fb1: 一級メイド❣
[16:38] @User_13ee997b: #きれいだなー
[16:41] @User_a30bfcaf: #完全に「あれっ、思ってたより話のレベルが高いな」状態ｗ
[16:42] @User_3a33415e: #そんなにポンポンと答えが出てくるのすごい
[17:12] @@aki5503: #第5問行きます！
[17:23] @User_94242a4c: 初見です！かわいい！！
[17:36] @User_a30bfcaf: カフェのフロントにいる女たち
[17:41] @User_13ee997b: 叫び
[17:50] @User_e3333c90: サトゥルヌス？
[17:50] @User_3a33415e: 魔王
[17:54] @User_94242a4c: 我が子を食らうサトゥルヌフ
[17:58] @User_6fe7a488: #あー、美術まったくわからん
[17:59] @User_7c724004: 魔王
[17:59] @User_8b194fdc: ピエタ
[18:05] @User_613c2f15: 我が子を食らうサトゥルヌス
[18:06] @User_5d00dbd2: 我が子を食らうサトゥルヌス
[18:08] @User_13ee997b: 我が子を食らうサトゥルヌス
[18:19] @User_cf512b08: 逆！！！！食べてる
[18:20] @User_51fe3fff: 我が子を食らうサトゥルヌス
[18:24] @User_5d00dbd2: タイピング早いよみんな
[18:33] @User_9c0c22ca: 我が子を食らうサトゥルヌス
[18:36] @User_16274fb1: 星月夜
[18:37] @User_a30bfcaf: #みんなメチャは早い
[18:40] @User_3a33415e: きっと、マクドナルドで働いてると思います＜魔王
[18:59] @User_51fe3fff: あれ？
[19:02] @User_e3333c90: 鬼子母神てきな話よね
[19:28] @User_613c2f15: 同時コメントが多かった感じですかね
[19:32] @User_3a33415e: #絵画の題名がすぐに出てこない（－ｖ－；）
[19:35] @User_69451bd9: サトゥルヌスこわ！！！！！😂
[19:46] @User_7c724004: 怖い絵画として有名な絵画ですか
[19:47] @@aki5503: #すみません、完全パターンマッチングなので少しでも誤字あるとスルーされてしまいます🙇‍♂🙇‍♂
[19:51] @User_6fe7a488: 普通に絵、怖いなw
[19:52] @User_4bfe683e: 検索したらトラウマになりそうな絵だったわ
[20:07] @User_e3333c90: サトゥルヌスって女性じゃなかったっけ
[20:07] @User_8142f876: ＃これはしらなかった。よく知ってますねみんな
[20:11] @User_94242a4c: 子供に殺されるのが怖くて食べてるの
[20:35] @User_8142f876: 悲しい顔しないで
[20:40] @User_69451bd9: 知らなかった…
[20:43] @@aki5503: #では6問目行きます！
[20:48] @User_e3333c90: たくさん食べような！
[20:52] @User_613c2f15: #元ネタは子供に殺される予言を受けた神が子供を殺してしまうやつですね
[20:57] @User_0d9f165f: こんばんはー　やってますねえ
[21:05] @User_3c5839d9: かわいい表情してグロ耐性がすごい
[21:08] @User_8b194fdc: 元ネタ助かるぅ
[21:29] @User_4bfe683e: 女の子は割とグロ耐性高いからね
[21:31] @User_69451bd9: 最後の晩餐
[21:32] @User_51fe3fff: 最後の晩餐
[21:32] @User_94242a4c: 最後の晩餐
[21:32] @User_6fe7a488: 最後の晩餐
[21:32] @User_613c2f15: 最後の晩餐
[21:33] @User_8b194fdc: 最後の晩餐
[21:33] @User_3c5839d9: 最後の晩餐
[21:36] @User_5d00dbd2: 最後の晩餐
[21:36] @User_e3333c90: 最後の晩餐
[21:36] @User_7c724004: 最後の晩餐
