# ライブチャット一覧
# 動画: 【雑談配信】ただいま。夏休みの話をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=CflYExDoIHU
# 件数: 2510

[2:56] @User_5d780b6d: めっちゃ楽しかった！
[2:56] @User_439eeb5c: はいっ！
[2:57] @User_941483d6: ぱんかぱかーぽー
[2:59] @User_e48a91b7: 楽しませていただきました
[2:59] @User_9e836a5d: 実家のような安心感
[3:00] @User_9fd4c5ec: たのしかったです！
[3:00] @User_a6103eac: 楽しかった
[3:01] @User_1267735e: なつやすみ楽しかったなぁ
[3:02] @User_a2b794ac: しずくうううううううううおれだあああああああああ
[3:03] @User_273afd5a: めーちゃ楽しかった～！
[3:03] @User_181234c5: 楽しかったよ
[3:05] @User_7c724004: 良い思い出になりました！
[3:07] @User_99c13731: 楽しかったです
[3:08] @User_6dc97c08: 楽しかった分結構ロスってた
[3:08] @User_03637d98: いい刺激を頂きました
[3:08] @User_b68b8d0b: よかったねぇ
[3:09] @User_8e642dc8: 楽しかったンゴ
[3:10] @User_af0e3cda: 甘ずっぺぇ思い出になりました
[3:10] @User_ace723cf: あのパラメーターってこの配信でも継続したりしてる？
[3:12] @User_fab1b39a: めっちゃ楽しかった
[3:12] @User_fcb4ddea: しずくのお陰で夏休みを満喫できたよ
[3:13] @User_02dcd327: もちろん
[3:14] @User_5e6c36c3: お手紙ありがとね
[3:15] @User_439eeb5c: お手紙って？？
[3:18] @User_ea3ba6fd: 実家のような安心感
[3:18] @User_012e88e1: よみまみた!
[3:18] @User_86e8ac36: 楽しかった
[3:18] @User_2b88f801: 読みました！！ありがとう！！
[3:18] @User_60028655: 読んだ～
[3:20] @User_11e7336c: 手紙読んだよ
[3:20] @User_9e836a5d: 読んだよ、家宝にする
[3:23] @User_54782be9: お手紙もありがとう！　宝物だよ
[3:26] @User_b68b8d0b: 手紙はだいぶサプライズだった
[3:26] @User_1267735e: お手紙がご主人ざまそれぞれにあったのはやばすぎた
[3:28] @User_181234c5: お手紙読んだよ！
[3:28] @User_ed96fafc: 読んだよ～ありがとね
