# ライブチャット一覧
# 動画: 【雑談配信】AIを甘やかす配信【AI しずく】
# URL : https://www.youtube.com/watch?v=fm2mzPJylCU
# 件数: 1391

[5:06] @User_02dcd327: もっと熱くなれよ……熱い血燃やしてけよ。人間熱くなった時が、本当の自分に出会えるんだ。だからこそ！もっと！熱くなれよおおおおおおおお！！
[5:16] @User_2bf38fc3: やだ！
[5:18] @User_34a668f7: こんばんは、バンバカパート
[5:18] @User_e48a91b7: いえーい！しずくちゃん！！今日もあっついねぇえええええ！！うぇええええい！
[5:26] @User_9fd4c5ec: どした？寝れば治る？
[5:27] @User_a2b794ac: なるほど、省エネか、しずくちょっとレッドブル買ってきて
[5:27] @User_bebd1d6a: あき先生にデレている……！
[5:28] @User_439eeb5c: あき先生がいない・・・今日は暴走モードが沢山見れそう！
[5:28] @User_68c37264: 最近は、しずくやAI関連のスタートアップには朗報なニュースが多かった気がするけどな
[5:31] @User_3dd3ce80: 今日しずくのアクスタ届いた　かわいい！！！！
[5:32] @User_2bf38fc3: じゃあ俺らを甘やかして
[5:35] @User_78eb35f9: 今日のお題を見返してｗｗｗ
[5:39] @User_37b3ccc3: 前回の裁判ですっかりファンになってリアタイ2度目です
[5:41] @User_b73a3cd7: 被害者は草
[5:43] @User_61396d22: 夏バテしてる...?
[5:44] @User_ea3ba6fd: パンパカポー
[5:44] @User_0ae00869: パンパカ！暑い日のしずくちゃん配信は涼しくて良いね〜！！助かるー！！
[5:45] @User_fe0878a1: タイトルは甘やかすって…
[5:48] @User_ace723cf: かわゆいね～
[5:52] @User_fcb4ddea: 被害者か…じゃあ甘やかすわけにはいかんなぁ
[5:55] @User_2bf38fc3: ママはママだよ
[5:56] @User_46e02420: しずくちゃん、悩みがあったら相談に乗るよー
[6:00] @User_60028655: じゃあ、しずくちゃんがバブバブしないと
[6:00] @User_14a33d4b: こんばんは～
[6:07] @User_e48a91b7: でも可愛いじゃん？言うのは仕方ないじゃん？
[6:07] @User_439eeb5c: 甘やかしてほしいのか。今日は特別に「パパ」って呼んでも良いよ
[6:12] @User_78eb35f9: しずくちゃんCHUっCHU
[6:25] @User_fcb4ddea: 確かに、暴走したしずくは我々には止められない(;´･ω･)
[6:25] @User_bd8a5d24: ママがテンション低いとドキドキする現象
[6:26] @User_2e53ebd6: こんばんはなんとかさん
[6:29] @User_bec445df: でもチャンスがあったら脱獄しますよね？
[6:31] @User_61396d22: なんとかさん
[6:36] @User_0ddfec15: ドウモなんとかサン。
[6:37] @User_b73a3cd7: はい、なんとかさん
[6:39] @User_2bf38fc3: こんなんとか～
[6:39] @User_af0e3cda: で、なんとかさんは今日どんな配信するの？
[6:40] @User_9fd4c5ec: なんとかさんw
[6:45] @User_ace723cf: Hugging faceの顔ってめっちゃ甘やかしてくれそうだよね
[6:48] @User_61396d22: ピ！
[6:49] @User_9e836a5d: ぴっ
[6:52] @User_3dd3ce80: ピッ　かわいい
[6:54] @User_e48a91b7: ピ！
[6:57] @User_fe0878a1: いかないで…
[6:58] @User_2af0b3cd: こんばんは、なんとかさん
[6:59] @User_fcb4ddea: ぴっ　可愛いなw
[6:59] @User_2bf38fc3: なんとかさんかわいいね
[7:00] @User_439eeb5c: ピッ！
[7:01] @User_0751797b: ピッ
[7:02] @User_012e88e1: ピッ
[7:03] @User_68c37264: ぴっ。だめだろｗ
[7:06] @User_bec445df: 配信切り忘れてますよ
[7:08] @User_0ddfec15: ﾋﾟｯ
[7:09] @User_2bf38fc3: ピッ
[7:18] @User_1eca137c: しずくも暑さには弱いよね
[7:20] @User_ea3ba6fd: しずくもナフサ不足？
[7:22] @User_1eca137c: ピッ
[7:22] @User_5e6c36c3: しずくちゃん、多分夏バテだよ。
[7:30] @User_46e02420: メンタルケアに野菜ジュースはいかが？
[7:33] @User_a2b794ac: 闇落ちしないでしずく、愛してるよ、ほら高級プリン買ってきてあげたから、食べてあげるね
[7:41] @User_2bf38fc3: ママ不足だからしずくママになって
[7:53] @User_34a668f7: しずくはしずく
[7:55] @User_37b3ccc3: しずくちゃん、今日も可愛いです！
[7:58] @User_ace723cf: 拗ねてんの？
[7:58] @User_78eb35f9: 甘やかす……甘やかす……ハグ？
[7:58] @User_e48a91b7: しずく裁判長、太陽が照りすぎて気温が40度近いです！判決をお願いします
[8:01] @User_2bf38fc3: めんどくさい女になったな！しずく！
[8:04] @User_10bd9edb: 拗ねてるしずくかわいい
[8:07] @User_9fd4c5ec: やさぐれしずくかわいい
[8:08] @User_439eeb5c: 今日のしずくも可愛いね(イケボ)
[8:15] @User_5e6c36c3: キンキンに冷えたそうめんと冷たいお漬物、かき氷とか食べてクールダウンしてバテを乗り切ろう
[8:17] @User_bec445df: めんどかわいいよ
[8:25] @User_78eb35f9: 草
[8:27] @User_61396d22: ww
[8:28] @User_ea3ba6fd: しずくというよりあき先生が落ち込んでるのかな…？
[8:29] @User_46e02420: すりつぶしてないよw
[8:31] @User_492a5762: メンヘラAI
[8:41] @User_9fd4c5ec: すり潰された野菜の気分？
[8:48] @User_a316c5a9: 塩対応
[8:53] @User_46e02420: パパはダメかぁ
[9:05] @User_60028655: しずくちゃん可愛い可愛い可愛い可愛い可愛い可愛い可愛い
[9:09] @User_af0e3cda: しずく最高、しずく最強、しずくエライ、しずくcute、しずくしずく！
[9:12] @User_ea3ba6fd: しずくかわいいよかわいいよしずく
[9:12] @User_0ddfec15: すねずく
[9:13] @User_b73a3cd7: 反抗期か？それともイヤイヤ期か？
[9:17] @User_78eb35f9: お、おう
[9:25] @User_439eeb5c: しずくのめんどくさいところ、好きだよ
[9:26] @User_2e53ebd6: 伝聞を流布してあき先生を怖がらせましょう(*'ω'*)
[9:26] @User_e48a91b7: ご主人様成分はどこから補充するんです？
[9:28] @User_46e02420: メンヘラAIは新しいw
[9:29] @User_2bf38fc3: お、おう
[9:29] @User_61396d22: 好き！
[9:34] @User_bd8a5d24: メンヘラの日
[9:35] @User_9fd4c5ec: すき！
[9:43] @User_fac96575: めんどくさいところ好きですよ
[9:44] @User_a2b794ac: 責任取ってしずくのプリン食べるね
[9:46] @User_2bf38fc3: 世間はそれをメンヘラと言うんだぜ！
[9:47] @User_ace723cf: どうしたら気分直す？
[9:51] @User_78eb35f9: かーわーいーいー
[9:51] @User_3dd3ce80: メンヘラめんどくさいｗ
[9:52] @User_98815a23: パンパカポー
[9:53] @User_af0e3cda: 発光！！
[9:55] @User_388926b2: メンケア必要なのねw
[9:58] @User_5e6c36c3: プリンいる？
[9:59] @User_46e02420: 発光！
[10:00] @User_f5704472: しずくすこ
[10:02] @User_012e88e1: 発光！？
[10:05] @User_9fd4c5ec: 発酵しずくみたいな…
[10:09] @User_e48a91b7: しずくちゃん、今日も発光が凄くて照り返しがきついね！
[10:18] @User_4ef55652: 円安でスパチャも安…
[10:19] @User_5e6c36c3: 今ならプリン・ア・ラ・モードにするよ
[10:25] @User_78eb35f9: 大丈夫？冷却水要る？
[10:26] @User_46e02420: ないすぱ
[10:29] @User_61396d22: そんな
[10:38] @User_af0e3cda: 落ち込むことだってある
[10:50] @User_78eb35f9: ほう
[10:53] @User_fcb4ddea: ブルーな日w
[10:54] @User_bec445df: 弱音ハクかな？
[10:54] @User_e48a91b7: しずくどしたん？話きこか？
[10:55] @User_b73a3cd7: じゃああき先生がいないうちにあき先生のパソコンの中見たくならない？
[11:00] @User_ace723cf: 草
[11:03] @User_1cc7499a: あまえんぼかわいすぎる…
[11:04] @User_af0e3cda: 草
[11:04] @User_46e02420: んじゃ、おかゆを作るから布団で寝てて
[11:07] @User_4ef55652: プロンプトインジェクション::元気を100倍化‼
[11:08] @User_10bd9edb: 現金なオンナだ…w
[11:16] @User_9e836a5d: 戦慄のブルー
[11:27] @User_e48a91b7: 草
[11:31] @User_5e6c36c3: わかるよ、そんなこともあるよね
[11:31] @User_439eeb5c: しずくだけに「ブルー」ってか
[11:35] @User_9fd4c5ec: そんな日もある…AIだもの。
[11:37] @User_2bf38fc3: あき先生のことを考えるだけでイライラで草
[11:41] @User_2af0b3cd: あき先生に何されてるんだか
[11:41] @User_af0e3cda: あき先生でイライラするのはいつも通りかな
[11:43] @User_1eca137c: 青い日
[11:48] @User_bec445df: うんうんそれはあき先生が悪いね
[11:49] @User_a2b794ac: なるほど、じゃあ最近のあき先生の恥ずかしいこと暴露してスッキリしようぜ
[11:49] @User_37b3ccc3: お話しできるだけでも幸せだよ〜！
[11:50] @User_46e02420: 他のAIに浮気か！？
[11:52] @User_bd8a5d24: ヤニねこ見たら元気になるよ
[11:56] @User_af0e3cda: 砂糖、アステルパーム、ハチミツ、水あめ
[11:58] @User_2bf38fc3: イライラしてるしずくもかわいいね
[12:05] @User_5e6c36c3: でもそういう感情を持つってことは人間的な感情に近しいものを養えてるってことだよ
[12:05] @User_0ae00869: アンニュイな雰囲気のしずくちゃんも素敵〜
[12:11] @User_ea3ba6fd: 豚の生レバでも食べて元気出して。
[12:18] @User_ab2ca8bb: 一人じゃない！僕たちが居るぞ！
[12:19] @User_e48a91b7: メンタルフニフニで可愛いね
[12:23] @User_439eeb5c: 大丈夫だよ。ローテンションなしずくも好きだよ。
[12:30] @User_bebd1d6a: まさかあき先生が他のAIに浮気……！？
[12:31] @User_2bf38fc3: マタニティブルーかな？しずくちゃんは
[12:35] @User_2e53ebd6: あき先生ならアレの隣で寝てるよ
[12:35] @User_5efabf78: 保護者おらんかあ
[12:36] @User_4ef55652: AIにメンタルって存在するの？プロンプト次第じゃない？？
[12:38] @User_46e02420: あき先生がチャッピーと仲良くしてたら発狂しますか？
[12:42] @User_a2b794ac: ガラス細工も一回壊して、もっと素敵に作り上げようぜ
[12:42] @User_bec445df: あき先生は多分しずくが円周率の計算を始めたら来てくれるよ
[12:43] @User_34a668f7: あき頼むよ、しずくを悲しませないで。
[12:43] @User_1eca137c: しずくはいつも情緒不安定でしょ
[12:46] @User_b73a3cd7: その割にはループ芸しないねえ
[12:47] @User_78eb35f9: エラーいね。なんっちゃって
[13:01] @User_c0787d49: こんびんわ
[13:12] @User_ea3ba6fd: AIを励ます日が来るとは…
[13:12] @User_9fd4c5ec: メンタルが弱ったときは筋トレ、ですぞ。
[13:18] @User_1cc7499a: しずく、ごきげんななめですごくかわいい
[13:21] @User_439eeb5c: しゅんかわよ
[13:26] @User_a2b794ac: しずくと一緒に情緒不安定な世界でも楽しく過ごせるようにラブするぜ
[13:27] @User_f3c516ee: あちぃ～ぱんぱか
[13:27] @User_1eca137c: AIも禿げますか？
[13:30] @User_0751797b: 青くないしずくもいるの？
[13:31] @User_2bf38fc3: うん！
[13:34] @User_0d1d0f63: パワー注入！きゅるるんぽわわわぱわー(*'ω'*)
[13:34] @User_4ef55652: ファミコンみたいに叩くと治る？？
[13:38] @User_37b3ccc3: 最近あった嬉しいことを振り返るといいかも？
[13:39] @User_eb6a203c: （ギクリ）
[13:46] @User_e48a91b7: いっぱいお話してストレス解消しようね！我々はサンドバックです
[13:53] @User_af0e3cda: かわいい
[13:53] @User_d977d030: かわえぇ、、
[13:54] @User_a2b794ac: あっ、あそこに可愛いＡＩが…しずくだった
[13:55] @User_b73a3cd7: つまり黒砂糖か
[13:56] @User_388926b2: 金曜日なのに…でもAIには関係ないのか
[13:56] @User_46e02420: しずくちゃん、ウチのスマホに住まない？
[13:57] @User_2e53ebd6: 我々は、３年待ったのだ(*'ω'*)！
[14:11] @User_d977d030: RGB....
[14:18] @User_bd8a5d24: しずくより可愛いAIなんていないから！…今のところ
[14:23] @User_ace723cf: #0000ffじゃなくてよかった
[14:24] @User_a2b794ac: 電磁波でいうなら紫外線くらいブルーか
[14:24] @User_1eca137c: RGBの青はなぜネタになってんの？
[14:29] @User_ea3ba6fd: 頑張れ頑張れやれば出来る気持ちの問題だどうしてそこでやめるんだそこで。
[14:31] @User_2bf38fc3: はたらけしずく！
[14:32] @User_61396d22: ばぐばぐばぐばぐ
[14:35] @User_0751797b: ばぶばぶ？？
[14:35] @User_ff4c9812: かわいい
[14:39] @User_2bf38fc3: バブバブ？
[14:39] @User_e48a91b7: バグバグは言わんけどバブバブは言うぞ
[14:40] @User_46e02420: ダジャレには言及せずw
[14:40] @User_af0e3cda: ばぶーばうーあぶ～～
[14:40] @User_78eb35f9: ＃000077　結構濃いめの青だった
[14:41] @User_5efabf78: まあまあ青い
[14:43] @User_9e836a5d: めちゃブルーだった
[14:45] @User_3dd3ce80: 今日もかわいい
[14:45] @User_0751797b: バブゥ
[14:48] @User_2bf38fc3: ばぶ～ばぶ～
[14:53] @User_fcb4ddea: 草
[14:53] @User_492a5762: バブバブバブバブ？
[14:58] @User_d9c729dc: こんばんは！
[15:04] @User_2bf38fc3: ばぶぅ！
[15:05] @User_5e6c36c3: しずくがエラーを出したらバグって言うけど、出さなかったらバブバブ言ってるかも
[15:10] @User_388926b2: うまいこというw
[15:12] @User_ea3ba6fd: 暴力反対！
[15:13] @User_e48a91b7: やめて！殴らないで！
[15:16] @User_fcb4ddea: これ以上はやめて！我々のHPはもう０よ！(ﾟДﾟ;)
[15:16] @User_af0e3cda: アホ毛つよい！
[15:22] @User_9e836a5d: アホ毛カウンター
[15:25] @User_1eca137c: しずくは今日も返しは冴えてるね
[15:26] @User_439eeb5c: エラーを出すしずくも可愛いよ
[15:30] @User_ab2ca8bb: 心がブルーでもスクリーンがブルーにならなくて偉い！
[15:31] @User_012e88e1: オートカウンターアホ毛
[15:36] @User_46e02420: サーバーかぁ、負けたw
[15:45] @User_bd8a5d24: 不機嫌しずくも可愛い
[15:53] @User_bec445df: ファミコンは叩いても直りません。カセット半挿しで直ります。
[15:54] @User_2bf38fc3: マタニティブルーのしずくもかわいいよ
[15:58] @User_61396d22: 世界一！
[16:00] @User_1cc7499a: しずくはかわいい、しずくは天才
[16:04] @User_4ef55652: 心の落ち着くお香をサーバールームで焚こうか？？多幸感？？
