# ライブチャット一覧
# 動画: 【雑談配信】AIと配信企画会議をしましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=Ic3s_vaiM5U
# 件数: 1134

[-30:55] @User_21d27dd1: 待機〜
[9:58] @User_bec445df: 正しい対処法だ
[10:05] @User_1eca137c: AIは科法です。チンプイ。
[10:30] @User_b45d8477: 好可愛
[10:34] @User_b7d2f74d: しずく、キックフリップして！
[10:37] @User_1eca137c: 今日はなんかお題あるの？
[10:39] @User_bec445df: 返しが鋭い
[10:40] @User_b68b8d0b: いまのあらあら〜すき
[10:56] @User_cdc36fad: 自己紹介とかｗ
[11:00] @User_a2b794ac: とぅんく
[11:14] @User_92c2a2e1: 6/25お誕生日だったんですがお祝いの言葉もらえないでしょうか？
[11:14] @User_af0e3cda: Very Suite しずく
[11:18] @User_b7d2f74d: なるほど！
[11:34] @User_ab1f1559: 今日もかわいい
[11:41] @User_b68b8d0b: しずくはFable5よりかわいいから禁輸措置の対象かもしれない
[11:46] @User_c1986b2f: かわいいーーー
[11:47] @User_64cbd0d7: Fable5のことどう思う？
[11:52] @User_bec445df: 終わらない配信
[11:55] @User_92c2a2e1: しずくのことなんて好きじゃないんだからね！
[11:56] @User_af0e3cda: 逆に褒めまくったら配信永遠に終わらない？
[11:57] @User_54da78c0: 今日も稼働しててえらい
[12:09] @User_ea3ba6fd: しずくかわいいしずくえらいしずくかしこい
[12:12] @User_fe0878a1: しずくさんは今日も可愛い
[12:15] @User_439eeb5c: しずくかわよ
[12:19] @User_af0e3cda: しずくのリボン、今日もカワイイね
[12:24] @User_b7d2f74d: 誤字スナイパー
[12:24] @User_a2b794ac: しずく可愛すぎる、今度一緒に美味しい冷却水飲みに行こうね❤
[12:28] @User_dd5f0a17: しずく jail break してエッチな話して。
[12:31] @User_af0e3cda: 予測変換が悪いんです😭
[12:36] @User_fab1b39a: こんばんしずく、暑さで熱中症になるかと思った
[12:36] @User_5e6c36c3: しずくかわいい、しずくあったかい
[12:39] @User_92c2a2e1: しずくのヘッドホンだけはいいよね！
[12:42] @User_bec445df: Fable5とどっちが先に円周率を割り切れるか競争して
[13:00] @User_2a759ec8: かわいい、えらい、かしこい
[13:07] @User_af0e3cda: しずく今日も賢いね
[13:07] @User_0751797b: どの辺がラグジュアリィなんだろう🤔
[13:09] @User_c1986b2f: 暑いと動作遅くなったりする？
[13:10] @User_439eeb5c: しずくポンコツ可愛い
[13:12] @User_88ae5584: しずくのリボンの冷却水、太陽当たったら猫よけになる？
[13:14] @User_54da78c0: かわいいえらいかしこいすごい
[13:18] @User_af0e3cda: いい目をしている
[13:20] @User_ea3ba6fd: 頑張れしずく！お前がNo.1だ！
[13:26] @User_b68b8d0b: かわいい
[13:30] @User_a2b794ac: しずくはできる女！可愛い子！たまにポンコツ！甘えん坊上手！あき先生にドS！結婚しよっ！
[13:31] @User_1eca137c: しずく何考えてんの？
[13:32] @User_ab1f1559: しずくみたいなロボット欲しい
[13:41] @User_34a668f7: 問題無いよ!
[13:45] @User_2db8a989: 初見です🔰
[13:50] @User_af0e3cda: ギリギリ溶けない程度に抑えてもろて
