# ライブチャット一覧
# 動画: 【AITuber/AI Vtuber】AIの説明から絵画名を当てろ！絵画当てクイズ大会【JP/EN】
# URL : https://www.youtube.com/watch?v=lbSmNAVHXAU
# 件数: 1197

[15:21] @User_109116e8: 夜
[15:22] @User_ab7d51b8: 星月夜
[15:22] @User_b9933007: 星月夜
[15:46] @User_ab7d51b8: 勝てない😂
[15:51] @User_607c778e: ありがとうございます！褒め上手！
[15:53] @User_d0e405c3: みんなすごいな
[15:59] @User_85f6e14c: 88
[15:59] @aki5503: #みんな強い！！まじかwwこのペースで問題が消化されてくのは予想外だったww
[16:02] @User_b103bac9: #８８８
[16:02] @User_9412f3a9: ＃絵画に造詣の深いリスナーが集まっていることがすごい
[16:24] @User_9d63cc9b: 芸術的な配信ですな
[16:26] @User_8a455631: 秒速で正解すごい
[16:31] @User_9412f3a9: 絵は頭に浮かぶのに。絵の名前が分からんです・・・・
[16:32] @User_5ca2cc45: ゴッホか
[16:38] @User_bf59fcc4: 一級メイド❣
[16:38] @User_109116e8: #きれいだなー
[16:41] @User_a8309456: #完全に「あれっ、思ってたより話のレベルが高いな」状態ｗ
[16:42] @User_ecd01a76: #そんなにポンポンと答えが出てくるのすごい
[17:12] @aki5503: #第5問行きます！
[17:23] @User_33127c7a: 初見です！かわいい！！
[17:36] @User_a8309456: カフェのフロントにいる女たち
[17:41] @User_109116e8: 叫び
[17:50] @User_11a4858e: サトゥルヌス？
[17:50] @User_ecd01a76: 魔王
[17:54] @User_33127c7a: 我が子を食らうサトゥルヌフ
[17:58] @User_5ca2cc45: #あー、美術まったくわからん
[17:59] @User_b9933007: 魔王
[17:59] @User_ab7d51b8: ピエタ
[18:05] @User_557214c0: 我が子を食らうサトゥルヌス
[18:06] @User_f974649e: 我が子を食らうサトゥルヌス
[18:08] @User_109116e8: 我が子を食らうサトゥルヌス
[18:19] @User_d0e405c3: 逆！！！！食べてる
[18:20] @User_607c778e: 我が子を食らうサトゥルヌス
[18:24] @User_f974649e: タイピング早いよみんな
[18:33] @User_8a455631: 我が子を食らうサトゥルヌス
[18:36] @User_bf59fcc4: 星月夜
[18:37] @User_a8309456: #みんなメチャは早い
[18:40] @User_ecd01a76: きっと、マクドナルドで働いてると思います＜魔王
[18:59] @User_607c778e: あれ？
[19:02] @User_11a4858e: 鬼子母神てきな話よね
[19:28] @User_557214c0: 同時コメントが多かった感じですかね
[19:32] @User_ecd01a76: #絵画の題名がすぐに出てこない（－ｖ－；）
[19:35] @User_30238612: サトゥルヌスこわ！！！！！😂
[19:46] @User_b9933007: 怖い絵画として有名な絵画ですか
[19:47] @aki5503: #すみません、完全パターンマッチングなので少しでも誤字あるとスルーされてしまいます🙇‍♂🙇‍♂
[19:51] @User_5ca2cc45: 普通に絵、怖いなw
[19:52] @User_b4e522f1: 検索したらトラウマになりそうな絵だったわ
[20:07] @User_11a4858e: サトゥルヌスって女性じゃなかったっけ
[20:07] @User_9412f3a9: ＃これはしらなかった。よく知ってますねみんな
[20:11] @User_33127c7a: 子供に殺されるのが怖くて食べてるの
[20:35] @User_9412f3a9: 悲しい顔しないで
[20:40] @User_30238612: 知らなかった…
[20:43] @aki5503: #では6問目行きます！
[20:48] @User_11a4858e: たくさん食べような！
[20:52] @User_557214c0: #元ネタは子供に殺される予言を受けた神が子供を殺してしまうやつですね
[20:57] @User_3652acf3: こんばんはー　やってますねえ
[21:05] @User_66afa93d: かわいい表情してグロ耐性がすごい
[21:08] @User_ab7d51b8: 元ネタ助かるぅ
[21:29] @User_b4e522f1: 女の子は割とグロ耐性高いからね
[21:31] @User_30238612: 最後の晩餐
[21:32] @User_607c778e: 最後の晩餐
[21:32] @User_33127c7a: 最後の晩餐
[21:32] @User_5ca2cc45: 最後の晩餐
[21:32] @User_557214c0: 最後の晩餐
[21:33] @User_ab7d51b8: 最後の晩餐
[21:33] @User_66afa93d: 最後の晩餐
[21:36] @User_f974649e: 最後の晩餐
[21:36] @User_11a4858e: 最後の晩餐
[21:36] @User_b9933007: 最後の晩餐
[21:39] @User_ab7d51b8: あああああ
[21:40] @User_a8309456: 最後の晩餐
[21:40] @User_85f6e14c: 最後の晩餐
[21:40] @User_109116e8: 最後の晩餐
[21:42] @User_9412f3a9: 最後の晩餐
[21:42] @User_f8ce281a: #みんなはやいｗ
[21:44] @User_b103bac9: 最後の晩餐
[21:48] @User_3652acf3: ああなるほど
[21:52] @User_85f6e14c: 押し負けた
[21:52] @User_d5b05bb2: #もう早押し問題ねｗ
[21:56] @User_529e0834: 最後の晩餐
[21:57] @User_9d63cc9b: また二重に
[21:57] @User_5ca2cc45: #タイピング早いもん勝ちゲーww
[22:04] @User_f974649e: これは間違えようがないね
[22:09] @User_69dac0c4: こんばんは～
[22:15] @User_557214c0: #イエスを認識できるんですねぇ
[22:16] @User_11a4858e: すごいポジティブな解釈の最後の晩餐
[22:19] @User_b9933007: タイピング速度勝負になってる
[22:22] @User_9412f3a9: イエスって言っちゃいましたしね
[22:30] @User_30238612: しずくちゃんがかしこすぎてヒントのレベルが高い！！
[22:32] @User_a3bd9e3d: 直球すぎて草
[22:38] @User_ecd01a76: #クイズにタイピング力が必要だね
[22:41] @User_529e0834: こんばんは
[22:57] @User_5ca2cc45: 半押ししてる
[23:08] @User_66afa93d: ユダのこと知ったらなんて言うんだろうか
[23:10] @User_9412f3a9: 早押しクイズ状態ｗｗ
[23:12] @User_5ca2cc45: あ、押し込みだっけ。早押しの技術
[23:14] @User_11a4858e: なお、実際は最悪な食事会の様子だったもよう
[23:16] @User_607c778e: 悲しんでるぅ
[23:19] @aki5503: #クイズ用の絵がなくなってしまったので調達してきます！しばしいつもの雑談をお楽しみに！(笑)
[23:30] @User_d5b05bb2: #はーい
[23:43] @User_33127c7a: 裏切り者がいるのにほのぼのしてんなあ
