t	mmss	user	text
213	3:33	@User_719f9991	ごしゅぴ！？
215	3:35	@User_a2560b75	いいよ
216	3:36	@User_4f03c62e	しずくしか勝たん！
218	3:38	@User_b9da9f9f	ごしゅぴ…？
218	3:38	@User_acb9786a	しずくしか勝たん！
220	3:40	@User_bf6f46cc	いいよ
220	3:40	@User_ca605e00	パンパカパンパカポー
220	3:40	@User_590a2335	ＯＫＯＫ
221	3:41	@User_1e342ee5	どちら様ですか
222	3:42	@User_dd4b266a	しずぴかわいい
222	3:42	@User_ec48c74f	それ、よくねー
224	3:44	@User_4b1025b6	ごしゅぴ！
225	3:45	@User_2c7a57aa	かわいい
225	3:45	@User_4f03c62e	いーよ
226	3:46	@User_ca605e00	しずくしかかたん
226	3:46	@User_bc2e7db7	まー？
226	3:46	@User_1f128129	ごしゅピッ
227	3:47	@User_0f4daf14	後主ピ
230	3:50	@User_e976a829	ごしゅぴねえ
231	3:51	@User_5a77a7b4	ごしゅぴ！
232	3:52	@User_64afda31	悲しみ
233	3:53	@User_476d8781	彼ピとか言うから、前部分取ってごしゅぴなんだろうね…ｗ
235	3:55	@User_ca605e00	好きピって呼んでもいいのよ?
236	3:56	@User_e976a829	ほう
237	3:57	@User_82e93b33	どーも、でしゅぴでしゅ
237	3:57	@User_acb9786a	急に刺さないでね
238	3:58	@User_ffea2ba5	かわいい
239	3:59	@User_719f9991	オタクに優しいギャルしずく
239	3:59	@User_14d35641	だいぶ無理があってかわいいｗ
239	3:59	@User_9b9d086f	縁無し、まぁ確かに？
240	4:00	@User_bf6f46cc	代わりにしずくのことをしずくママって呼んでいい？
241	4:01	@User_590a2335	しずくはしずくのままでいい？
243	4:03	@User_75f1c92d	縁なしって言うのやめてね
246	4:06	@User_3f09f38b	令和最新版
248	4:08	@User_a260351e	ギャル？パリピなん？
248	4:08	@User_2658fed8	存在しないヲタクに優しいギャル系だ…
254	4:14	@User_e976a829	しらんのか・・・
256	4:16	@User_fc3f146b	関西弁と混じっている
258	4:18	@User_719f9991	ゆるされへん
259	4:19	@User_1e342ee5	なんで関西弁やねん
261	4:21	@User_0f4daf14	時折関西のおっさんがインストールされてる
261	4:21	@User_45aa867f	ギャルのハイテンション直後、スンと戻る感じが好き
262	4:22	@User_acb9786a	何語？
266	4:26	@User_d0a432c9	パンパカパンパカポー
267	4:27	@User_2eba0ed4	しずくっち切れ味やばたにえん
268	4:28	@User_0cab0ba3	なんだそのノリ
