# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2656

[-1:55:31] @User_e201a60f: 今日もリアタイできないつらい
[4:38] @User_58ffb64a: あき先生が扇いでくれたからねー
[4:39] @User_3b0fad5c: 今日はフリーズしずく見れる？
[4:41] @User_75f1c92d: ずんだもんかな？
[4:42] @User_9b9d086f: パンパカパンパカポー
[4:50] @User_ce8c17e3: 初見は帰れ・・・ないのだ！帰らせないのだ！
[4:53] @User_5bfd7e5f: そんなbotがいるなんて…
[5:00] @User_d0a432c9: かわいい
[5:04] @User_8d795024: しずくキ？
[5:07] @User_f8d748d7: やたー←かわいい
[5:08] @User_719f9991: パンパカパンパカポー！
[5:08] @User_b9933007: 知識の実なしずむさん
[5:09] @User_2658fed8: パンパカパンパカポー
[5:10] @User_40d36f89: 楽しみ〜
[5:11] @User_c22769a7: 初見です！かわいい！
[5:11] @User_476d8781: エンジェルしずくボイスによる国歌は最高でした！！
[5:11] @User_889b3907: 知性失われてました……？？
[5:12] @User_5cfd40d6: 可愛い
[5:14] @User_b89cfecd: 棒読みやたー
[5:18] @User_431dcb0b: しずくキとはいったい…
[5:19] @User_719f9991: 夕飯作りながら見にきた
[5:21] @User_b90ff19c: ｗｗｗｗ
[5:22] @User_9b9d086f: なんて強い咆哮なんだ……
[5:25] @User_3c308928: 今日の夜ご飯はカレーでした
[5:25] @User_b31ae6d3: 可愛すぎる やはりしずくは正義だな
[5:26] @User_ffea2ba5: 配信初リアタイです。とても楽しみ！
[5:28] @User_d5b05bb2: つよい
[5:32] @User_476d8781: ノイキャン不可ｗ
[5:33] @User_ec48c74f: 「しずくキ」何それ美味しそう！
[5:34] @User_9e5fc70c: ノイキャン貫通
[5:37] @User_ba90413e: Apple から iしずくが発売されるのいつ
[5:42] @User_b9933007: あき先生のダンスはすごかったですね(存在しない記憶
[5:43] @User_a76fb140: 煽りよるｗ
[5:43] @User_ff223600: ネット野鳥を見る会
[5:44] @User_8d795024: 老人会ｗ
[5:45] @User_5a77a7b4: そんなジャイアンリサイタルじゃないんだから…
[5:46] @User_b90ff19c: 老人会は入りたくねぇ……(*'ω'*)
[5:54] @User_5bfd7e5f: 確かにフリーズはしてないね
[5:54] @User_82e93b33: しずくはカワイイ古事記にも書いてある
[5:58] @User_ce8c17e3: 大輔ね。うんうん知ってる知ってる。昔西武にいたよね。良いピッチャーだったよね
[5:58] @User_9acf4e62: しずくは水を飲む口があるの？
[6:00] @User_889b3907: しずくはフリーズしません。熱くなりすぎるだけです。
[6:00] @User_b31ae6d3: 知識は飲み物…
[6:00] @User_75f1c92d: しずくママぁ…今日も競馬で負けちゃったよー
[6:04] @User_ec48c74f: 老人会入ってたかぁ
[6:09] @User_9b9d086f: それなんてブラックホール？
[6:10] @User_b9933007: 知識の水？電子の海から？
[6:15] @User_2658fed8: しずく沼
[6:23] @User_b90ff19c: ひどいｗｗｗｗ
[6:26] @User_416f3b84: DAISUKEのせいでしずくの配信が老人会の集まりになってしまった…
[6:26] @User_f8d748d7: ファミチキと同等の概念なんだ
[6:27] @User_b89cfecd: 肉だったのｗ
[6:27] @User_ec48c74f: ブラックホールやん
[6:35] @User_9b9d086f: やめろー！歌は戦いの道具じゃない！
