# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2839

[-58:58] @User_d95c8644: 早すぎたカモ・・・💦
[4:10] @User_cbacf194: bot扱いｗ
[4:10] @User_0d1d0f63: 悲しい事件だった…
[4:11] @User_b9f75335: そんなことしたの
[4:12] @User_d0c52a36: 監視
[4:13] @User_0bc16841: （普通に監視してるんだ…）
[4:15] @User_6370b2c0: APIの仕様が変わったの？
[4:15] @User_29bc7059: それですか。。
[4:17] @User_fe8b59ef: イーロン優しくしてあげて
[4:17] @User_02dcd327: しずくはインプレゾンビ扱いされたのか……
[4:18] @User_52e190bd: どうなってるんだイーロン
[4:18] @User_e82a7cb9: イーロンが悪いよわイーロンが
[4:19] @User_acaff370: 草
[4:22] @User_e80f9961: 草
[4:26] @User_26f79efd: ひどい
[4:27] @User_c0787d49: どういうふうに理解すればいいんだ
[4:27] @User_7c724004: また監視されてる
[4:28] @User_61396d22: イーロン様たすけてー
[4:29] @User_a7e1e62c: イーロソに言って
[4:30] @User_e48a91b7: おのれイーロン！
[4:31] @User_d760cc52: イーロン君許せねぇな
[4:32] @User_ffe9fcba: 草
[4:33] @User_0ddfec15: 激おこスティックファイナリアリティぷんぷんドリーム
[4:38] @User_7877a5a0: AIに無い人権の１つだねえ
[4:38] @User_9e836a5d: げきおこぷんぷん丸
[4:38] @User_d0c52a36: しっぽ？
[4:40] @User_11e7336c: おのれイーロン
[4:41] @User_36fcf009: イーロンに媚び売っていこ？
[4:41] @User_fd5bce3c: イーロン許すまじ
[4:42] @User_d0c04878: ワンワンしてたね
[4:42] @User_0bc16841: さりげなくポケモン周年にも触れていく
[4:42] @User_7c724004: 激おこぷんぷん丸懐かしい！
[4:44] @User_1a70ee33: イーロンが悪いよ
[4:44] @User_a7e69cd6: くねくね動いてる！？
[4:45] @User_68c37264: 怒りの…尻尾…？ワンワン
[4:48] @User_773c64c4: いけっ！　しずく！　しっぽをふる！
[4:49] @User_26f79efd: 怒っても冷静に尻尾を振る
[4:49] @User_268457d5: ぼうぎょが下がりそう
[4:50] @User_acaff370: おのれイーロン、絶対に許さんぞ、天の助！
[4:51] @User_bec445df: 新鮮な話題！
[4:52] @User_0ae00869: 怒りのしっぽをふる…なんて恐ろしい…！！
