# ライブチャット一覧
# 動画: 【20年前】AIが2006年からお送りします【AI しずく】
# URL : https://www.youtube.com/watch?v=ri44iJ5iisA
# 件数: 1591

[3:57] @User_c97baf72: こんばんは。2006でもブラウン管は割と絶滅危惧種だったかも。
[3:58] @User_36770ee1: 2006年1Gbps強すぎる
[3:59] @User_02dcd327: 光にする意味ある？ネトゲする時ぐらいじゃない？
[4:01] @User_11e7336c: ペンギン草
[4:01] @User_5e6c36c3: お前を消す方法のイルカのようなやつがいる
[4:04] @User_52e190bd: Twitter2006年にあるんか！？
[4:04] @User_f0e10979: 懐かしいデスクトップ
[4:10] @User_e48a91b7: すげぇ！ISDNの何倍くらい速いんだ？
[4:10] @@aki5503: パンポー
[4:11] @User_98815a23: twitterあったのまじ
[4:12] @User_2e53ebd6: いや草
[4:12] @User_78eb35f9: 右下を消す方法
[4:13] @User_5e6c36c3: いるよ
[4:16] @User_17e4818c: 懐かしい～
[4:16] @User_ea3ba6fd: なんで20年前に戻った？
[4:16] @User_9e836a5d: 流石にネタだよな？
[4:17] @User_af0e3cda: コメントほぼリアルタイムで反映されてない？
[4:18] @User_7c724004: いるよ
[4:18] @User_2bf38fc3: いるよ！しずくママ！
[4:18] @User_1eca137c: おます
[4:18] @User_b73a3cd7: イルカいないな　いるよ
[4:18] @User_61396d22: いるる
[4:19] @User_3dd3ce80: いるよ
[4:21] @User_11e7336c: いるよ
[4:22] @User_c97baf72: ノシ
[4:23] @User_0f676911: いるよ！
[4:23] @User_9de46bcb: ハッシュタグは英字でないとダメでは？
[4:23] @User_51bbdc51: Twitterで最古の日本人コメントは柏レイソルだったかな
[4:24] @User_fe0878a1: いないかもよ
[4:24] @User_0ddfec15: いないよ！
[4:25] @User_98815a23: いるかがいるよ　もうひとりのいるかさんもいたよ
[4:25] @User_edfe8ed2: いるよー
[4:25] @User_ee8ff9ef: いるよ
[4:26] @User_14a33d4b: パンパカパンパカポー
[4:27] @User_8cfc42f0: いるよ～
[4:27] @User_eb6a203c: X…違う、Twitter！！そう、Twitterだよ！！！！
[4:28] @User_9de46bcb: いるよー
[4:29] @User_60028655: いるよ
[4:29] @User_2bf38fc3: ママ！
[4:29] @User_fcb4ddea: いるよ
[4:30] @User_00abd90e: パンヤとかやってた
[4:30] @User_9e836a5d: いるよ
[4:30] @User_36770ee1: Wii！？
[4:32] @User_0f676911: 記録AIしずく＆記憶人間ご主人様 2006年・平成18年 雑談！
[4:32] @User_02dcd327: Skypeも便利ですよ
[4:32] @User_af0e3cda: ちくわ大明神
[4:32] @User_439eeb5c: いるよ？？
[4:33] @User_8f797190: りょうみやw
[4:35] @User_f0e10979: います
[4:36] @User_27175ec5: りょうみや
[4:37] @User_2e53ebd6: これＣＲＴです？
[4:40] @User_5233e44b: ペンギンを消す方法
[4:42] @User_61396d22: 児童館で見たpc画面だ
[4:43] @User_8a0cab1f: いるよ
[4:46] @User_0ddfec15: やわらか頭塾
[4:47] @User_a2b794ac: ガラケーとスマホの境界線の時代だったな
[4:52] @User_af0e3cda: 着うたは自分で作るもんだ！！
[4:54] @User_f5704472: いるよ
[4:56] @User_ea3ba6fd: Meはアカン…
[4:57] @User_3d9820ae: アキ先生あまりに古いの使ってるw
[4:58] @User_00abd90e: そのUIはどう見てもXP
[4:58] @User_9e836a5d: vistaなんてなかった
[4:58] @User_c97baf72: あなたはそこにいますか（ファフナーは２００４年）
[4:59] @User_f0e10979: VISTAって、あの……
[5:00] @User_2bf38fc3: しずくは俺の嫁！
[5:02] @User_b73a3cd7: wiiはもう少し後じゃなかったけ
[5:04] @User_17e4818c: イナバウアー
[5:09] @User_7c724004: あーCRTモニタっぽいフィルター掛けてるんだ
[5:14] @User_3dd3ce80: ブラウザにNetscape NavigatorとかSleipnirとかあった時代かな
[5:14] @User_52e190bd: おもしろフラッシュ見ようず
[5:15] @User_2bf38fc3: vistaにしては画面が古すぎる
[5:16] @User_02dcd327: 思いっクソ同年代じゃん
[5:17] @User_e48a91b7: いたよ
[5:22] @User_eb6a203c: 当時は…赤ん坊だったなぁ。しずくママぁ！
[5:23] @User_ea3ba6fd: ﾉ
[5:26] @User_af0e3cda: 義務が
[5:27] @User_5e6b5f6b: 見にきました
[5:27] @User_5e6c36c3: 2006年だとCentrinoの鳥が踊るのも2年後か
[5:36] @User_2e53ebd6: はい欠席です！
[5:44] @User_1eca137c: 立ち悪いよね～
[5:47] @User_11e7336c: 某イルカかな？
[5:50] @User_af0e3cda: ペンギンの仕事が細かいｗ
[5:50] @User_51bbdc51: ペンギン版カイル君かな？
[5:55] @User_ea3ba6fd: カイル…
[5:55] @User_ab2ca8bb: 初見です。不束者ですが宜しくお願いします。エアーマンが倒せません。
[5:59] @User_2e53ebd6: 開国してくださいよぉ～
[6:00] @User_61396d22: 🐬
[6:01] @User_9e836a5d: おまえを消す方法
[6:05] @User_b73a3cd7: えっと、WindowsXPあたりか
[6:14] @User_2bf38fc3: しずくママァ！おぎゃあ！おぎゃあ！
[6:14] @User_98815a23: 🐬
[6:16] @User_e48a91b7: そんな事より聞いてくれよしずくよ
[6:20] @User_78eb35f9: なあ聞いてくれよ>>1よ
[6:21] @User_dbc9a8dc: 生まれてもいないや
[6:25] @User_0751797b: ﾏﾏｧ…
[6:25] @User_f9f0959f: ピーッ、がッ！ピィィーーー！ガァーーー
[6:26] @User_439eeb5c: 懐かしい…
[6:28] @User_bdd6b2bf: キリ番踏み逃げしていいですか
[6:30] @User_273afd5a: パンパカパンパカポー！
[6:34] @User_ba88e9cc: 2006年ってやる夫スレあったっけ？
[6:38] @User_fcb4ddea: 正論で草
[6:43] @User_98815a23: ラフメイカー冗談じゃない
[6:45] @User_11e7336c: かわいい
[6:47] @User_439eeb5c: おぎゃあ可愛い
[6:48] @User_2e53ebd6: 開国してくださぁーい……
[6:49] @User_af0e3cda: レッツゴー陰陽師ってこの頃だっけ？
[6:53] @User_0ddfec15: 巫女巫女ナース
[6:58] @User_1eca137c: ウィルス扱いww
[7:00] @User_6fa7330f: しずくさんや、ご飯はまだですかいのぅ？
[7:04] @User_36770ee1: そういえば今年nVidiaという謎のグラボ会社からGeForce 8800というグラボを出して使ってみてよかったんですが、株を買ったほうがいいんですか？
[7:08] @User_7c724004: キリ番踏んだのでBBSに報告します！
[7:14] @User_e48a91b7: しずくママ好きぃ
[7:15] @User_108de219: しずくちゅわ〜ん可愛いちゅっちゅ
[7:23] @User_af0e3cda: ウィルスは草
[7:26] @User_2bf38fc3: しずくママぁ！しゅきぃ！
[7:26] @User_ea3ba6fd: ぬるぽ
[7:28] @User_64cbd0d7: 種死の映画をやる前に来年から新しいガンダムが始まるようですね
[7:37] @User_b73a3cd7: 思い出した　これブラウン管の画面じゃろ？
[7:41] @User_11e7336c: キリ番懐かしい
[7:43] @User_9de46bcb: カクテルの名前でしりとりしよ　スクリュードライバー
[7:43] @User_78eb35f9: 粉～～～～～～～～～～～～～～～～～雪～～～～～～～～～～～～～～～～
[7:44] @User_b68b8d0b: ヘラしずく
[7:44] @User_14a33d4b: 再現しているのがフラットCRTでは無いのがｗ
[7:46] @User_ab2ca8bb: YouTube? 時代はニコニコ動画(β)でしょ。
[7:47] @User_3d9820ae: 2006年だとしずくの存在はオーパーツすぎない？
[7:51] @User_eb6a203c: ｶﾞｯ
[7:51] @User_e48a91b7: 頭にアルミホイル巻かなきゃ
[7:54] @User_dbc9a8dc: デロリアンで落雷受けなきゃ
[7:54] @User_439eeb5c: １ゲト
[7:55] @User_17e4818c: たまごっちがカラーになりました
[7:58] @User_3dd3ce80: Winnyで情報漏洩はやってたころか
[8:00] @User_8cfc42f0: ハンゲームとかやってたかなぁ
[8:03] @User_7c724004: Dメールはもう少し後だったかな
[8:05] @User_60028655: 画面がブラウン管だぁ
[8:05] @User_af0e3cda: 隠しページある？
[8:09] @User_5e6c36c3: 最近auでLISMOってサービス始まったらしいよね。
[8:11] @User_11e7336c: ペンギン…あき先生？？？
[8:11] @User_f0e10979: ウインドウが微妙に歪んでいるのが細かいｗ
