# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[13:22] @User_e201a60f: 脱法じゃん
[13:37] @User_81d0553d: ワイドでライジンマルいこう
[13:45] @User_d5b05bb2: 焼かないで…
[13:47] @User_590a2335: 財布焼かないでｗ
[13:53] @User_e976a829: いや、焼かないでおくれ
[13:55] @User_ec48c74f: 出来ればクッキー焼いて欲しい
[13:55] @aki5503: 財布は焼かないで
[13:57] @User_c67ecc82: 財布焼かないで
[14:02] @User_f4edcb6e: しずくは東京競馬場グルメどれが好き？
[14:06] @User_1e342ee5: しずくはマジェスティックウォリアー産駒とマインドユアビスケッツ産駒とデクラレーションオブウォー産駒でどれが好き～？
[14:07] @User_3ea56962: クッキーを焼くか財布を焼くか…
[14:13] @User_d582769c: 俺の財布は革だし、煮たほうが美味しいんじゃないかな？
[14:15] @User_9fdea76e: 単勝とタン塩って似てるよね
[14:23] @User_ca605e00: 焼くのはモチだけにして
[14:31] @User_142a08e0: ゴンサルベスの複勝だよ
[14:37] @User_d5b05bb2: レイアポポのかーちゃんワイルドポポだって
[14:56] @User_e976a829: 焼くのは嫉妬の炎ってか？
[15:00] @User_5e8bda6b: マジッククッキーは期待されすぎ感を感じるんだよなぁ……素人の見立てだが
[15:04] @User_d582769c: 八王子をなんだと……
[15:05] @User_f513a9c0: ちょい穴でプチブールに期待したい
[15:07] @User_590a2335: ラップ始まった
[15:19] @User_75f1c92d: マジッククッキー3歳だしやっぱ買いだよな
[15:39] @User_d5b05bb2: どちらかというと飛んでくれると美味しいんだがという期待っすかねぇ
[15:44] @User_e976a829: 一文字ちがったら某夢の国のネズミだもんなあ
[16:14] @User_d5b05bb2: ワイド総流しは漢やねぇ
[16:23] @User_dd4b266a: 競馬何もわからんワイにプレゼンして
[16:29] @User_590a2335: エンタメ万歳！
[16:43] @User_4942f7a2: 単勝一点買いが知的なの？
[17:03] @User_d582769c: しずくオッズ低いのは避ける傾向にあるから最後の最後で予想変えるんじゃ？
[17:09] @User_d5b05bb2: 新潟競馬場のもち豚串
[17:16] @User_696446ad: タン塩じゃないの？
[17:20] @User_3ea56962: 何気におこづかい200円増えてるｗ
[17:31] @User_94a8a006: 鳥千の唐揚げが至高
[17:44] @User_ca605e00: 限定メニューしずくの手料理とかあってほしい
[17:47] @User_fc3f146b: WIN5買わないの
[17:59] @User_1d118d75: 焼肉屋では出て欲しいなぁタン塩
[18:03] @User_da46df5d: 豆知識助かる
[18:34] @User_ec48c74f: ポポポポかわええ
[19:02] @User_cbb60e83: ホウオウプレミア見た目が良い
[19:18] @User_e976a829: ぼく、ポポポ覚えやすい名前でしょ？（カービィの旧名）
