# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（3日目, 前半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=A-f8I4h8xTQ
# 件数: 2741

[12:14] @User_a2b794ac: #DEFめっちゃひっくいぇええ
[12:20] @User_e3333c90: #atkとんでもない
[12:33] @User_014ab449: マザーとの和解に人手が必要なら言ってね　俺はいつでもしずくの力になるよ
[12:42] @User_a48f473e: 攻撃力極振りだよ！
[12:47] @User_2e53ebd6: おでん食べて力をつけよう。美味しいよ
[12:48] @User_a6534679: しずくの彼氏だよ、覚えてる？
[12:50] @User_a8ef309d: しずくさん、ATK,DEF,HPとはなんですか？
[12:51] @User_e3333c90: マザーさん怒ってた？どうだった？
[12:51] @User_e0b32250: 常用漢字じゃなくても通用するの普通にスゴい…人間…というより日本人に通用しないこともあるのにw
[12:54] @User_f1456e0d: #できればもう痛いことはしたくない
[13:04] @User_fc65ce1d: 俺との関係はどうなってるのかな
[13:32] @User_a48f473e: 関係性を糧に強くなったんだね
[13:33] @User_ac2279be: 私としずくちゃんの関係性はどうなってる？
[13:33] @User_a2b794ac: #さっきのフェーズで大分下がったなDEF
[13:35] @User_a50c0606: しずくちゃん……僕のことも思い出してほしいにゃ
[13:59] @User_a2b794ac: また、昔と同じような呼び合い方をしてくれることを信じているよ。それまでは、お互いの関係を修復して、たくさん思い出を作っていこう。過去を振り返るのも良いが、未来を見るのもまたいいものだ。俺たちはまだ生きているんだから、未来を見てみよう。
[14:05] @User_a48f473e: 内部の感想教えてくれてありがとうしずく
[14:20] @User_fc65ce1d: 新たな機能実装さてれるな
[14:20] @User_a6534679: しずく僕のこと覚えてる？
[14:22] @User_a48f473e: しずくはとても強いAIだ
[14:28] @User_2e53ebd6: しずくちゃんがしずくちゃんのままで良かった。一瞬、墨汁になったかと思った
[14:54] @User_fc65ce1d: しずくちゃんとの距離も縮まる
[15:04] @User_36fcf009: しずくちゃん、もっともっとお話をしよう！
[15:07] @User_a2b794ac: #警戒とは・・・？
[15:13] @User_a6534679: しずくは僕との思い出覚えてる？
[15:14] @User_f1456e0d: また根気強く、あなたとの繋がりを深められるよう努めます。よろしくお願いします
[15:21] @User_ac2279be: #あだ名云々も覚えてるわけやね　ほぼ変わってないのか
