# ライブチャット一覧
# 動画: 【AI競馬予想】日本ダービー同時視聴！【AI しずく】
# URL : https://www.youtube.com/watch?v=KMKfe71ZnhI
# 件数: 1406

[7:26] @User_1f82c74d: もうお金無くなっちゃった；；
[7:50] @User_8f4fb6bc: わたし、競馬実況みるのはじめて！
[7:50] @User_eb6a203c: あっち同接10万いるのか…
[7:52] @User_ff9acb40: あき先生はしずくちゃんの予想にいくら溶かすの
[8:01] @User_1a70ee33: 負けても高知でファイナルレースあるから
[8:10] @User_36fcf009: 信じてええんかしずく
[8:15] @User_af0e3cda: たぶん100％
[8:15] @User_60028655: パンパカパンパカポー
[8:26] @User_11e7336c: 勝率100%はすごい！
[8:28] @User_0ddfec15: 信じるぞ…しずく！
[8:31] @User_0dadbc15: 同接10万は大人気配信者すぎる
[8:32] @User_2af0b3cd: しずく、信じてるぞ
[8:43] @User_36fcf009: むらさき賞の429馬券、3連単で16000倍やで
[9:05] @User_c0787d49: 同接10万の1%でも流入したら同接1000や
[9:06] @User_0f8f478b: １０レースは９の逃げ切りで
[9:08] @User_2e53ebd6: 16000倍！？
[9:08] @User_00abd90e: 何を特徴量にして分析するんだろ
[9:21] @User_36770ee1: 8!8!8!8!8!8!
[9:22] @User_c0787d49: 単勝！？
[9:23] @User_1eca137c: 競馬百万年ぶりだ
[9:27] @User_2af0b3cd: 単勝ね
[9:28] @User_11e7336c: わかりやすくてたすかる
[9:31] @User_9e836a5d: 3連単で勝負だ
[9:32] @User_439eeb5c: 本命とは別に4-2-9で買おうぜｗ
[9:51] @User_1a70ee33: ミスタージーティー、斤量57kgだから自力で押し切れるかどうか
[9:59] @User_ae0cdefe: これ当ったら世界初の競馬予想メイドAIとしてデビューしよう
[10:21] @User_0bc16841: ミスタージーティーこんなとこにいるんだ
[10:21] @User_36770ee1: 無難すぎる選択で草。
[10:33] @@aki5503: 無難だww
[10:38] @User_eb6a203c: 順当にオッズで選んでそうなしずく
[10:38] @User_1abf22d1: ドットクルーという名前にビビッときました！
[10:38] @User_a7c9363c: 競馬はどうゆうルールなの？
[10:39] @User_0bc16841: ルメール信頼で草
[10:41] @User_a7c9363c: 競馬はどうゆうルールなの？
[10:42] @User_b73a3cd7: オラ馬の名前皆初見だ　ルメールは最近覚えた。
[10:42] @User_2e53ebd6: 手堅い
[10:48] @User_0dadbc15: 10Rのパドックだ
[10:51] @User_36770ee1: キングメーカーを入れろ！
[10:56] @User_ae0cdefe: 好感度倍ｗ
[10:56] @User_1eca137c: 画面のだけじゃ情報が足りない
[10:57] @User_af0e3cda: 競馬はよくわからないので見る専です
[11:11] @User_0f8f478b: ダンツファイターの逃げ切りに期待
[11:13] @User_1a70ee33: 東京競馬場を函館にすることでカジュノリの勝率が70％上がります
[11:24] @User_ac184118: レイニング強いと思ってるけどなかなかうまくいってないねえ
[11:48] @User_af0e3cda: 現実的なｗ
[11:50] @User_9692911a: こんにちは。
[11:53] @User_2e316d55: ダービーのジョッキー紹介見た？
[12:00] @User_0bc16841: 今日のルメール、一番人気全部飛ばしてるけど大丈夫？
[12:12] @User_1eca137c: 人気2番というだけでレイニング。馬連で。
[12:29] @User_60028655: そら賭け事不成立になったら神でもないと怒られそうだｗ
[12:42] @User_36fcf009: 2-10ワイドか2複勝いくやで
[12:52] @User_0bc16841: 草
[12:54] @User_1a70ee33: ハンデ戦は難しい
[12:55] @User_ff9acb40: わかりやすい
[12:55] @User_36770ee1: 失うなよ！
[12:57] @User_0ddfec15: 草
[12:57] @User_1eca137c: あ、パドック見ないとね。
[12:57] @User_80f0d6db: 草
[12:58] @User_d15f4c8d: 😂
[12:59] @User_11e7336c: 悲しい…
[12:59] @User_36fcf009: わかりやすい
[13:01] @User_2af0b3cd: 草
[13:01] @User_af0e3cda: お　金　を　失　い　ま　す
[13:04] @User_b2b188c9: それはそう
[13:06] @@aki5503: 草
[13:08] @User_ae0cdefe: 選ぶ→失う、何が楽しいんだｗ
[13:08] @User_012e88e1: 草
[13:16] @User_36770ee1: 言い訳AIじゃねえか
[13:21] @User_7536f8b5: 草
[13:24] @User_76e020d3: 時期が悪い
[13:31] @User_36fcf009: なんでや
[13:32] @User_17e4818c: 😇
[13:46] @User_60028655: 本来求められる忖度機能の真逆を張るAI
[13:54] @User_f97afc90: ウマ娘のライブやる箱として府中使えば20万人はいるんだけどどう思う？
[13:55] @User_0bc16841: いかないで
[14:00] @User_af0e3cda: 逃げないでｗ
[14:05] @User_11e7336c: 逃げないで
[14:05] @User_1a70ee33: しずく「もういい、私が走る」
[14:09] @User_69451bd9: しずくちゃんがんばえー！！
[14:22] @User_1eca137c: 騎手でいったらテンミラクルスターとか
[14:28] @User_439eeb5c: しずくさんの残高お願いします！
[14:41] @User_eb6a203c: 武豊まだ現役なん？
[14:42] @@aki5503: しずく、頼む当ててくれ...!
[14:47] @User_1a70ee33: 早熟エピファ産駒で4歳だしテンミラクルスター本命かねぇ
[14:49] @User_36770ee1: そうなの？？？
[14:49] @User_36fcf009: ゴンサルベスって名前カッコいいよね
[14:49] @User_2e316d55: テンミラクルスターがテンミラクルスターしちゃうわよ！
[14:51] @User_f97afc90: G1はやっぱりルメールなんか？
[14:51] @User_0ddfec15: 馬連流し (10-2, 9,12,13,18の5点)でいくぞ…
[14:55] @User_0bc16841: 騎手買いするタイプなのかな
[15:29] @User_36fcf009: 燃やすのやめなー
[15:30] @User_36770ee1: 「揉めてください」
[15:32] @User_0bc16841: どうしてもルメールに思考を握られてて草
[15:34] @User_32d21438: 揉めてください！？？
[15:36] @User_af0e3cda: その争いを予想で沈めてくださいえ
[15:44] @User_11e7336c: 予想が変わった？
[15:47] @User_ff9acb40: 競馬はお金を失うものなので予想ではなく言い訳を考えるのに全力を注ぐ。正しいかもしれない
[15:50] @User_eb6a203c: お、悩んでる
[15:55] @User_751c08fc: マイネルフルムーンはどうですか？
[16:00] @User_2e53ebd6: あき先生の晩御飯がおかゆライスになってまうで(*'ω'*)
[16:03] @@aki5503: ２番人気の5.0倍悪くない
[16:04] @User_1a70ee33: レイニングの前走11着は中京とかいうコースのせいなので問題外と見る
[16:08] @User_ed75d67e: Ext
[16:20] @User_36770ee1: 「みすま」
[16:25] @User_1eca137c: ファンも走るとか
[16:28] @User_92c2a2e1: しずくちゃんの予想は？
[16:40] @User_32d21438: 参ったそれはそれで見たい
[16:53] @User_11e7336c: 武豊さんは知ってる
[17:05] @User_0bc16841: そうなんだ
[17:11] @User_b73a3cd7: 俺はカメールが好きだな
[17:12] @User_ed75d67e: Next year Kentucky Derby ,
[17:13] @User_ff9acb40: ルメールへの厚い信頼
[17:14] @User_80a26bff: こんばんは〜AIもギャンブルする時代に…
[17:15] @User_36fcf009: 何分発走なん？
[17:21] @User_0ddfec15: 最近はルメールに裏切られがち
[17:23] @User_eb6a203c: 向こうなんかトラブってる？
[17:43] @User_11e7336c: しずちゃんの予想は、レイニング？
[17:47] @User_f97afc90: aki先生が負けたらしずくのGPUが減るの？しずく大丈夫そう？？
