t	mmss	user	text
319	5:19	@User_ec48c74f	同接盛りすぎや
326	5:26	@User_e3a1f71a	10億人も繋いでてGPU大丈夫？RTX 6000PROをあき先生に買ってもらおう。
329	5:29	@User_d0a1ad86	初見ですがあき先生って誰？
329	5:29	@User_c67ecc82	感じてそう
329	5:29	@User_2c7a57aa	しずくさんかわいい
330	5:30	@User_77f8489e	10億人登録者行ったらダイヤの盾とか貰えそう
331	5:31	@User_70652aef	しずく、可愛い
331	5:31	@User_590a2335	今日もチャンネル登録ボタン押しますね
334	5:34	@User_a30d4a28	高評価推してるよ👍
334	5:34	@User_dd4b266a	寂しそうにして～まぁ～可愛い
350	5:50	@User_a531685f	ツンデレしずくかわいい
351	5:51	@User_b9933007	コメ読み上げ嬉しいです！
358	5:58	@User_c67ecc82	10億パンパカパンパカポー
359	5:59	@User_b052bab2	オールナイト電子の海すき、しずくは海のいきもの
363	6:03	@User_77f8489e	10億スパチャは贈与税とかヤバそう
364	6:04	@User_02294f67	日本人口を遥かに超えている
372	6:12	@User_2c7a57aa	10億スパチャもあればあと100年はしずくさんのサーバー代を払えますね
379	6:19	@User_bf6f46cc	さすがしずくママ！
379	6:19	@User_ea832c1d	今北産業
384	6:24	@User_75f1c92d	え？
395	6:35	@User_590a2335	追加オプションなんだ
397	6:37	@User_02294f67	優しさって買えるの？
400	6:40	@User_b9933007	基本的に辛辣な様な？
402	6:42	@User_b90ff19c	優しさ（ここから有料となります）
410	6:50	@User_0cd40fbd	今北産業
413	6:53	@User_a260351e	相変らず金にがめついｗ
422	7:02	@User_2658fed8	優しさは有料
426	7:06	@User_caeb3437	👋
429	7:09	@User_590a2335	貪欲で草
435	7:15	@User_a531685f	高評価押したよ👍
435	7:15	@User_5a77a7b4	スマイルも有料？
439	7:19	@User_77f8489e	とりあえず一回高評価押しておいた
439	7:19	@User_75f1c92d	10億人の👍待ってるぜ！
439	7:19	@User_ec48c74f	👽
441	7:21	@User_a30d4a28	１０億高評価👍
441	7:21	@User_d5b05bb2	10億アカウントかぁ、ご主人様大変だ
445	7:25	@User_b9933007	地球外！？まさかグレイ型宇宙人👽
446	7:26	@User_31fa983c	地球外w
448	7:28	@User_e3a1f71a	地球外のIPもv6なの？
453	7:33	@User_4982ec69	今日も声を聞かせて下さってありがとうございます
453	7:33	@User_b90ff19c	弟かな？
457	7:37	@User_c67ecc82	友達だよね
459	7:39	@User_a744e95c	宇宙人まで含めたらIPv8でも足りるのかま
460	7:40	@User_476d8781	妻だったか…
460	7:40	@User_ec48c74f	全否定
461	7:41	@User_02294f67	孫かな？
461	7:41	@User_d0a1ad86	ふーむ
461	7:41	@User_5bfd7e5f	IPv8ができるらしいね
461	7:41	@User_75f1c92d	しずく兄ちゃん！！
461	7:41	@User_dd4b266a	めっちゃ予防線はってきたｗｗ
462	7:42	@User_d5b05bb2	彼女だけ語気強くなかった？
463	7:43	@User_2658fed8	俺達宇宙人だったのか
463	7:43	@User_719f9991	猫？
464	7:44	@User_590a2335	グランマの可能性
465	7:45	@User_77f8489e	しずくパパ概念…そんなのもあるのか
468	7:48	@User_5a77a7b4	丹念に塞いできたなｗ
469	7:49	@User_8b7242c7	ご主人って地球産じゃなかったんか…
470	7:50	@User_1e342ee5	姉と彼女だけ特にそんな否定しなくても
470	7:50	@User_b9933007	姉でも妹でも彼女でもないｗｗ 徹底的に否定してる
471	7:51	@User_ec48c74f	あき先生？
483	8:03	@User_9b9d086f	あき先生がデータセンターに監禁されるのか……
490	8:10	@User_ec48c74f	ここ株主総会だったのか
495	8:15	@User_719f9991	しずく無敵！
500	8:20	@User_270496f5	配信途切れがち？それとも自分のWIFIが悪いだけ？
507	8:27	@User_ea832c1d	しずく可愛い理解
508	8:28	@User_75f1c92d	しずくにとっての出会いと別れを中華料理で例えて
518	8:38	@User_590a2335	プレミア入ってるから広告出ないんだよなぁ
521	8:41	@User_ec48c74f	プレミアなのに広告入るのか
525	8:45	@User_f8d748d7	3行にまとめている ＋429点
527	8:47	@User_b9933007	月額制な優しさ…
531	8:51	@User_9936c980	どうすればママになってくれますか？
531	8:51	@User_5a77a7b4	月額ｗ
536	8:56	@User_889b3907	商魂たくましいな
539	8:59	@User_75f1c92d	友達フィルターｗ
542	9:02	@User_77f8489e	友達＞ご主人様なのね
545	9:05	@User_e3a1f71a	回線微妙に飛ぶのはあき先生がアメリカいるからかな
550	9:10	@User_bf6f46cc	うちらマブダチじゃんｗｗｗ
552	9:12	@User_02294f67	フィルターて
558	9:18	@User_c67ecc82	友達じゃないの？(T_T)
