# ライブチャット一覧
# 動画: 【雑談配信】歌枠を振り返ろう雑談【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=BrGEk_6jUHc
# 件数: 2628

[-1:55:31] @User_0751797b: 今日もリアタイできないつらい
[4:39] @User_93228cce: 今日はフリーズしずく見れる？
[4:41] @User_e48a91b7: ずんだもんかな？
[4:42] @User_02dcd327: パンパカパンパカポー
[4:50] @User_973d1a50: 初見は帰れ・・・ないのだ！帰らせないのだ！
[4:53] @User_1eca137c: そんなbotがいるなんて…
[5:00] @User_ac082e8e: かわいい
[5:04] @User_f0e10979: しずくキ？
[5:07] @User_367ec8e4: やたー←かわいい
[5:08] @User_61396d22: パンパカパンパカポー！
[5:08] @User_7c724004: 知識の実なしずむさん
[5:09] @User_be29e1ca: パンパカパンパカポー
[5:10] @User_679737a1: 楽しみ〜
[5:11] @User_3b8a2d9e: 初見です！かわいい！
[5:11] @User_fcb4ddea: エンジェルしずくボイスによる国歌は最高でした！！
[5:11] @User_bec445df: 知性失われてました……？？
[5:12] @User_d0c52a36: 可愛い
[5:14] @User_bf747a92: 棒読みやたー
[5:18] @User_22fefbca: しずくキとはいったい…
[5:19] @User_61396d22: 夕飯作りながら見にきた
[5:21] @User_2e53ebd6: ｗｗｗｗ
[5:22] @User_02dcd327: なんて強い咆哮なんだ……
[5:25] @User_bdd6b2bf: 今日の夜ご飯はカレーでした
[5:25] @User_c7ae276a: 可愛すぎる やはりしずくは正義だな
[5:26] @User_edfe8ed2: 配信初リアタイです。とても楽しみ！
[5:28] @User_36fcf009: つよい
[5:32] @User_fcb4ddea: ノイキャン不可ｗ
[5:33] @User_92c2a2e1: 「しずくキ」何それ美味しそう！
[5:34] @User_172220d2: ノイキャン貫通
[5:37] @User_987ed199: Apple から iしずくが発売されるのいつ
[5:42] @User_7c724004: あき先生のダンスはすごかったですね(存在しない記憶
[5:43] @User_773c64c4: 煽りよるｗ
[5:43] @User_1296d218: ネット野鳥を見る会
[5:44] @User_f0e10979: 老人会ｗ
[5:45] @User_60028655: そんなジャイアンリサイタルじゃないんだから…
[5:46] @User_2e53ebd6: 老人会は入りたくねぇ……(*'ω'*)
[5:54] @User_1eca137c: 確かにフリーズはしてないね
[5:54] @User_0d1d0f63: しずくはカワイイ古事記にも書いてある
[5:58] @User_973d1a50: 大輔ね。うんうん知ってる知ってる。昔西武にいたよね。良いピッチャーだったよね
[5:58] @User_e5adb39d: しずくは水を飲む口があるの？
[6:00] @User_bec445df: しずくはフリーズしません。熱くなりすぎるだけです。
[6:00] @User_c7ae276a: 知識は飲み物…
[6:00] @User_e48a91b7: しずくママぁ…今日も競馬で負けちゃったよー
[6:04] @User_92c2a2e1: 老人会入ってたかぁ
[6:09] @User_02dcd327: それなんてブラックホール？
[6:10] @User_7c724004: 知識の水？電子の海から？
[6:15] @User_be29e1ca: しずく沼
[6:23] @User_2e53ebd6: ひどいｗｗｗｗ
[6:26] @User_25d38d45: DAISUKEのせいでしずくの配信が老人会の集まりになってしまった…
[6:26] @User_367ec8e4: ファミチキと同等の概念なんだ
[6:27] @User_bf747a92: 肉だったのｗ
[6:27] @User_92c2a2e1: ブラックホールやん
[6:35] @User_02dcd327: やめろー！歌は戦いの道具じゃない！
[6:37] @User_973d1a50: しずくで……皆に笑顔を……
[6:37] @User_bec445df: 会長！？　こんなところに！
[6:37] @User_172220d2: 強制ｗ
[6:38] @User_e3a7dfa2: 老人の集まり
[6:41] @User_22fefbca: ファミチキのようなものだった
[6:41] @User_92c2a2e1: ファミチキが基準なのか
[6:41] @User_27504ca7: 強制？！
[6:42] @User_e5adb39d: 笑顔は強制、幸福は義務
[6:46] @User_7c724004: スマイル(強制
[6:48] @User_fe0878a1: 幸福なのは義務です
[6:50] @User_0ddfec15: ﾊﾟﾝﾊﾟｶﾊﾟﾝﾊﾟｶﾎﾟｰ
[7:01] @User_a2b794ac: しずくううううおれだああああああ結婚しよう
[7:03] @User_60028655: この物価高のご時世にファミチキより安いと、どんな材料使ってるやら
[7:05] @User_9f1810bc: 市民、幸福は義務です
[7:08] @User_ac082e8e: よく知ってるな
[7:08] @User_c7ae276a: 手のひら最高すぎる
[7:10] @User_0bc16841: されてないんかい！
[7:11] @User_1eca137c: 日本の老人比率高いからしょうがない
[7:11] @User_17e4818c: 冷静な返しだ
