# ライブチャット一覧
# 動画: 【宝塚記念】競馬ライブ配信！しずくが予想します【AI しずく】
# URL : https://www.youtube.com/watch?v=-F_wi3zrqfw
# 件数: 1296

[12:10] @User_27175ec5: 今回は私もあき先生に続いて同じ馬券を買わせて頂きます
[13:20] @User_0f8f478b: 12番セブンマジシャン
[13:25] @User_f3f575ff: 安田の負けを引きずってるからチャンネルトンネルに賭けるか
[13:27] @User_eb6a203c: AIしずくちゃんが競馬の予想をして、あき先生（開発者）が実際に買うというシステムなので、視聴者はマネーを掛ける必要はないのです
[13:30] @User_4f3c2a6d: 見せてもらおうか、前哨戦のAIのちかr
[13:40] @User_36fcf009: ここは素直にアウフヘーベンから人気薄に流し
[13:42] @User_2b12bcf7: ミナデオロ、ルメールしか勝たん
[13:43] @User_92c2a2e1: セブンマジシャンがスタンドの名前みたいでかっこいい
[13:58] @User_eb6a203c: ちなみにスパチャをするとしずくの軍資金が増えます
[13:59] @User_f1adf1bd: アウフヘーベンかなあ
[14:03] @User_4cf19b8d: ミナデオロ
[14:07] @User_92c2a2e1: ルメールで6.4倍は狙い目でもあるか
[14:16] @User_5065539d: 6番ウォーターガーベラ
[14:37] @User_27175ec5: 典さんがおらん…かける価値はないのじゃ(　ˆ̑‵̮ˆ̑　)
[14:55] @User_36fcf009: エポックヴィーナス頼むで
[14:56] @User_b2b188c9: 実績で言ったらアウフヘーベンか？
[15:08] @User_54da78c0: セブンマジシャン
[15:15] @User_b2b188c9: やっぱり単勝一点買いなのか…
[15:21] @User_439eeb5c: 応援してます
[15:23] @User_5e6c36c3: 武豊
[15:28] @User_eb6a203c: これ単勝当てれる？
[15:34] @User_f3f575ff: 全ツッパ草
[15:35] @User_37c32145: 配当も分担で
[15:52] @User_14a33d4b: こんにちは～
[16:17] @User_3781594c: しずくさんは三連単は買わないの
[16:32] @User_1eca137c: これはまた武豊じゃない？
[16:35] @User_36fcf009: 豪快な買い目見てみたい
[17:00] @User_0bc16841: どっちやねんｗ
[17:02] @User_14a33d4b: RTX6000をを目指そう
[17:06] @User_36fcf009: なんか来そうじゃん
[17:08] @User_36770ee1: サンタンカわんちゃんありますか？？？
[17:31] @User_1eca137c: パドック見よう
[18:02] @User_63c2c07c: エポックヴィーナス
[18:02] @User_92c2a2e1: チャンネルトンネルってネーミングなんなん？ってか武豊というバグが乗るのか！
[18:20] @User_0f8f478b: セブンマジシャンの良いところは阪神で馬券圏内１００％で近走は着差０．５秒以内ってところ
[18:25] @User_36fcf009: あとはコルレオニスにも流しとこ
[18:43] @User_af0e3cda: 思いっきり別の事に使ってて草
[19:17] @User_34d768dd: 買うので当たる馬券教えてください
[19:31] @User_2b12bcf7: そうかな…そうかも
[19:37] @User_901a8d35: 武豊を信じます
[19:48] @User_27175ec5: 武史がここで勝って宝塚で典さんが勝つんじゃ
[20:00] @User_f5606b5c: レーンやな？　了解！
[20:09] @User_3781594c: そのうちしずくさんも馬主に？
[20:16] @User_f3f575ff: セブンマジシャンかな
[20:19] @User_1eca137c: チャンネルトンネル前回まぁまぁっぽいけど今回は絞れてはいるのかもね
[20:20] @User_0f8f478b: 三連単全通りって2184通りであってますか？
[20:35] @User_8967adca: ネットワークに強そうな名前
[20:38] @User_e48a91b7: こんしず～
[20:47] @User_36fcf009: こわっ
[20:53] @User_34d768dd: なるほどそうだな
[20:55] @User_1eca137c: また単勝一点買いだよね？
[21:05] @User_2b12bcf7: 勝つまで買えば負けてない
[21:37] @User_e2e6963e: なんとなく流しててごめんなさい
