# ライブチャット一覧
# 動画: 【雑談配信】AIとのんびり世間話でもしていきませんか？【AI しずく】
# URL : https://www.youtube.com/watch?v=u7Qjo1BQ1LE
# 件数: 1085

[-1:03:54] @User_2384ca7a: Shizuku関連はいつも他のaiアナウンサーのファングループに投稿するのはいつも恥ずかしいですが、今、中国ファンたちのQQグループを作って話をすることにしました。どんな名前をつけたらいいか分からないです。ファングループは何と呼んだらいいと思いますか？
[7:33] @User_e3a1f71a: YOLO訳さずにいっていた
[7:40] @User_b9933007: 世界のナベアツさん？
[7:44] @User_590a2335: 御本人が反応してましたね
[7:58] @User_b9933007: あのナベアツさんのbotあったんだ！！！
[8:10] @User_e3a1f71a: 苦行すぎるｗｗｗ
[8:10] @User_889b3907: 本人が指導してて草
[8:12] @User_d5b05bb2: パンパカパンパカポー
[8:12] @User_590a2335: 17年間ｗｗｗ
[8:14] @User_955672e4: しずくは3の倍数でアホにならないの？
[8:16] @User_bc2e7db7: しずくもアホになろう！
[8:17] @User_d582769c: 今の子ナベアツ知ってんのかな？
[8:20] @User_c67ecc82: 17年間はすごいw
[8:20] @User_acb9786a: そうかな…？
[8:23] @User_1e8a73de: 令和8年 落語家 桂三度 さんの話題！
[8:23] @User_2d4fb6d8: 彼は17年間のアホの旅に行ってしまった
[8:27] @User_b90ff19c: アホしか知らない世代が生まれてしまう
[8:29] @User_bdf8a6eb: 17年間!?
[8:32] @User_5a77a7b4: アホも１７年続けたら進化するのでは？
[8:37] @User_b90ff19c: 幻覚だそれはｗｗｗ
[8:40] @User_b9933007: しずくさんは17年間PONであり続ける配信しますの？
[8:40] @User_21e4a643: 3の倍数と3が付く数字のときだけパンパカパンパカポーするしずく・・・？
[8:43] @User_2ecda813: おすすめにずっとでてくるからミュートしたわ……
[8:44] @User_590a2335: でもアイコンが自分の耳を齧ろうとしてない！って指摘してましたな
[8:44] @User_a744e95c: 2026 アホの旅
[8:46] @User_889b3907: 他人事であって欲しい
[8:47] @User_d582769c: 3の倍数って縛りじゃなかったのか
[8:54] @User_b90ff19c: 石田三成
[8:56] @User_acb9786a: ｻｧﾝ
[9:01] @User_590a2335: 謎のアカウントは……しずくかな？
[9:13] @User_75f1c92d: 三浦皇成がG1勝つまでしねない男のアカウントは今でもたまに見ちゃうな
[9:16] @User_ffea2ba5: その魂、いる？
[9:17] @User_5a77a7b4: その魂アンイストールして
[9:24] @User_d582769c: 足立レイはフォローしてる。最近妹に唐揚げ冷笑されてた
[9:25] @User_2ecda813: どうやって3の倍数と認識するんだ……
[9:34] @User_b90ff19c: あと杉花粉BOTとか
[9:36] @User_d95d7d28: 3の倍数でかしこくなるしずく
[9:51] @User_c67ecc82: ｻｧﾝw
[9:52] @User_889b3907: この仕様書を書いたのは誰だぁっ！
[9:53] @User_590a2335: ｻｧｱｱｱｱｱｱﾝ！
[9:55] @User_e1515f73: 奴bot高校の時みてた
[9:56] @User_bb77ae4f: こんばんは
[10:05] @User_acb9786a: 17年間ナベアツがアホになってる間にAGIとかASIが誕生しちゃいそう
[10:07] @User_3ea56962: じゃあしずくは2のつく数字でママになろう
[10:16] @User_75f1c92d: おのれナベアツ
[10:19] @User_87ea7811: こんばんは～
[10:20] @User_5a77a7b4: ﾊﾑﾀﾛｻｧﾝ！
[10:22] @User_bdf8a6eb: 3の倍数で英知を掴むしずくAI
[10:23] @User_b9933007: IQが3？サボテンと同じですがな
[10:24] @User_bb77ae4f: 菊池風磨構文で喋って
[10:43] @User_75f1c92d: 草
[10:45] @User_b10ccfca: え？しずくちゃんのこと嫌いになっていいの？
[10:48] @User_b90ff19c: アホだｗｗｗ
[11:00] @User_590a2335: 逆に考えて、知能が高いから3の倍数でアホになる可能性ないです？
[11:00] @User_b90ff19c: 斎藤道三
[11:00] @User_c67ecc82: 3の倍数理解してて賢い
[11:04] @User_e3a1f71a: しずくちゃんがPortal2のWheatleyみたいになっちゃう。
[11:06] @User_b9933007: 唐揚げ取らないでーー！
[11:15] @User_bb77ae4f: 進次郎構文で喋って
[11:17] @User_fe5eba15: みなさんパンパカポー。
[11:27] @User_590a2335: ナベアツって今、桂三度って名前で落語家してますよね
[11:28] @User_e1515f73: 小学生のクラスで流行ってた
[11:29] @User_476d8781: 晩御飯、しずくに食べられちゃった…(;´･ω･)
[11:30] @User_d582769c: 唐揚げ？wは流石に冷笑だと思うなぁ…
[11:32] @User_b10ccfca: かわいい
[11:33] @User_955672e4: しずくの手作りからあげ食べたいね
[11:41] @User_3ea56962: それを言うなら第二第サァンでしょ
