# チャット語彙群（signals用ヒント。family	カンマ区切りキーワード）
非言語音	キス,舌打ち,ペロ,ぺろ,鳴き声,いびき,寝息,効果音,モノマネ,ものまね
感情声	震え,ふるえ,泣,涙,嗚咽,切な
声への言及	声が,声で,声も,ボイス,声色,野太
歌	歌枠,うたっ,♪
笑い	笑い声,嘲笑,爆笑
新規性反応	初めて,新機能,新しい,今の何,どこから,できるの,これはすごい
眠気・体調	眠,あくび,夏バテ,寝て
名前・記憶	名前,呼ばれ,呼んで,覚え,常連
