# ASR補正辞書（normalized層にのみ適用。raw・チャット・Xには絶対に適用しない）
# 追加条件: 「誤記側の文字列が、この文脈で正表記以外を意味することが無い」場合のみ。
# 曖昧な断片（しず/気づく 等）は入れない。変更は人間承認制（ゲート3）。
# 誤記	正	備考
秋先生	あき先生	ASR定番誤変換（7-24配信で19回実測）
秋葉先生	あき先生	まれな変種
雫	しずく	この文脈では常に名前。一般名詞の「雫」が出る配信では要見直し
しず子	しずく	ASR変種
