# ライブチャット一覧
# 動画: 【20年前】AIが2006年からお送りします【AI しずく】
# URL : https://www.youtube.com/watch?v=ri44iJ5iisA
# 件数: 1591

[3:58] @User_9d63cc9b: 2006年1Gbps強すぎる
[3:59] @User_9b9d086f: 光にする意味ある？ネトゲする時ぐらいじゃない？
[4:01] @User_c67ecc82: ペンギン草
[4:01] @User_ca605e00: お前を消す方法のイルカのようなやつがいる
[4:04] @User_3f6ab113: Twitter2006年にあるんか！？
[4:04] @User_8d795024: 懐かしいデスクトップ
[4:10] @User_75f1c92d: すげぇ！ISDNの何倍くらい速いんだ？
[4:10] @aki5503: パンポー
[4:11] @User_6c97afae: twitterあったのまじ
[4:12] @User_b90ff19c: いや草
[4:12] @User_2ecda813: 右下を消す方法
[4:13] @User_ca605e00: いるよ
[4:16] @User_64afda31: 懐かしい～
[4:16] @User_99afb65d: なんで20年前に戻った？
[4:16] @User_d0753fd1: 流石にネタだよな？
[4:17] @User_590a2335: コメントほぼリアルタイムで反映されてない？
[4:18] @User_b9933007: いるよ
[4:18] @User_fada112e: いるよ！しずくママ！
[4:18] @User_5bfd7e5f: おます
[4:18] @User_e976a829: イルカいないな　いるよ
[4:18] @User_719f9991: いるる
[4:19] @User_6992daac: いるよ
[4:21] @User_c67ecc82: いるよ
[4:22] @User_79887bb7: ノシ
[4:23] @User_1e8a73de: いるよ！
[4:23] @User_9422eed4: ハッシュタグは英字でないとダメでは？
[4:23] @User_8a7e6f18: Twitterで最古の日本人コメントは柏レイソルだったかな
[4:24] @User_8b7242c7: いないかもよ
[4:24] @User_ff7588b2: いないよ！
[4:25] @User_6c97afae: いるかがいるよ　もうひとりのいるかさんもいたよ
[4:25] @User_ffea2ba5: いるよー
[4:25] @User_270496f5: いるよ
[4:26] @User_87ea7811: パンパカパンパカポー
[4:27] @User_c91c1023: いるよ～
[4:27] @User_d582769c: X…違う、Twitter！！そう、Twitterだよ！！！！
[4:28] @User_9422eed4: いるよー
[4:29] @User_5a77a7b4: いるよ
[4:29] @User_fada112e: ママ！
[4:29] @User_476d8781: いるよ
[4:30] @User_3a160b08: パンヤとかやってた
[4:30] @User_d0753fd1: いるよ
[4:30] @User_9d63cc9b: Wii！？
[4:32] @User_1e8a73de: 記録AIしずく＆記憶人間ご主人様 2006年・平成18年 雑談！
[4:32] @User_9b9d086f: Skypeも便利ですよ
[4:32] @User_590a2335: ちくわ大明神
[4:32] @User_3ea56962: いるよ？？
[4:33] @User_82b3ee3b: りょうみやw
[4:35] @User_8d795024: います
[4:36] @User_6e41632f: りょうみや
[4:37] @User_b90ff19c: これＣＲＴです？
[4:40] @User_7a44ac8f: ペンギンを消す方法
[4:42] @User_719f9991: 児童館で見たpc画面だ
[4:43] @User_8e063313: いるよ
[4:46] @User_ff7588b2: やわらか頭塾
[4:47] @User_dd4b266a: ガラケーとスマホの境界線の時代だったな
[4:52] @User_590a2335: 着うたは自分で作るもんだ！！
[4:54] @User_2fac9877: いるよ
[4:56] @User_99afb65d: Meはアカン…
[4:57] @User_633e7c57: アキ先生あまりに古いの使ってるw
[4:58] @User_3a160b08: そのUIはどう見てもXP
[4:58] @User_d0753fd1: vistaなんてなかった
[4:58] @User_79887bb7: あなたはそこにいますか（ファフナーは２００４年）
[4:59] @User_8d795024: VISTAって、あの……
[5:00] @User_fada112e: しずくは俺の嫁！
[5:02] @User_e976a829: wiiはもう少し後じゃなかったけ
[5:04] @User_64afda31: イナバウアー
[5:09] @User_b9933007: あーCRTモニタっぽいフィルター掛けてるんだ
[5:14] @User_6992daac: ブラウザにNetscape NavigatorとかSleipnirとかあった時代かな
[5:14] @User_3f6ab113: おもしろフラッシュ見ようず
[5:15] @User_fada112e: vistaにしては画面が古すぎる
[5:16] @User_9b9d086f: 思いっクソ同年代じゃん
[5:17] @User_75f1c92d: いたよ
[5:22] @User_d582769c: 当時は…赤ん坊だったなぁ。しずくママぁ！
[5:23] @User_99afb65d: ﾉ
[5:26] @User_590a2335: 義務が
[5:27] @User_1d650d9a: 見にきました
[5:27] @User_ca605e00: 2006年だとCentrinoの鳥が踊るのも2年後か
[5:36] @User_b90ff19c: はい欠席です！
[5:44] @User_5bfd7e5f: 立ち悪いよね～
[5:47] @User_c67ecc82: 某イルカかな？
[5:50] @User_590a2335: ペンギンの仕事が細かいｗ
[5:50] @User_8a7e6f18: ペンギン版カイル君かな？
[5:55] @User_99afb65d: カイル…
[5:55] @User_7204270f: 初見です。不束者ですが宜しくお願いします。エアーマンが倒せません。
[5:59] @User_b90ff19c: 開国してくださいよぉ～
[6:00] @User_719f9991: 🐬
[6:01] @User_d0753fd1: おまえを消す方法
[6:05] @User_e976a829: えっと、WindowsXPあたりか
