# ライブチャット一覧
# 動画: 【雑談配信】AIの進化を見守る配信【AI しずく】
# URL : https://www.youtube.com/watch?v=qgSHKskCFcw
# 件数: 1820

[6:15] @User_4a076080: なんだと？
[6:16] @User_5bfd7e5f: 知られちゃ困るw
[6:19] @User_2658fed8: うぃ～ふぃ～
[6:19] @User_1d118d75: 逆になんでパスワードが
[6:19] @User_955672e4: こんばんは、初コメです
[6:20] @User_8741c43d: ｗｗｗ
[6:22] @User_c67ecc82: Wi-Fiのパスワードも困るw
[6:22] @User_cd48a1db: ども
[6:24] @User_b9933007: うぃーふぃー
[6:25] @User_8b7242c7: パスワード割り出すのも大変なんじゃないかという
[6:32] @User_719f9991: うぃ↑ふぃ↑
[6:33] @User_b052bab2: うぃーふぃー派は賢いな
[6:35] @User_d0753fd1: 1行でえらい
[6:49] @User_3ea56962: しずくは分かったんでサムネイルの可愛い子お願いします。
[6:57] @User_dd4b266a: たまに毒もまき散らします
[6:57] @User_79887bb7: 初見です。
[7:06] @User_a5354cfa: 毒耐性分けてください
[7:09] @User_590a2335: スーパーマーケット
[7:11] @User_75f1c92d: スパAIしずく
[7:13] @User_d5b05bb2: 業務スーパーしずく
[7:14] @User_5a77a7b4: きのこ食べて大きくなった？
[7:14] @User_99afb65d: ぱんぱか
[7:16] @User_571885ff: 初見です！動きかわいい
[7:25] @User_2ecda813: わーいーふぁーいー！
[7:29] @User_b9933007: スーパー？ダイエー？
[7:48] @User_8b7242c7: 光を凌駕するしずくさん
[7:50] @User_d0753fd1: 光より速いのか
[7:51] @User_2ecda813: 言ってないのに？
[7:55] @User_2384ca7a: 忘记日本和中国的时区不一样了，忘记通知中国的粉丝了，吧主失格了日本と中国のタイムゾーンが違うことを忘れて、中国のファンに知らせるのを忘れて、バタバタ主は失格になりました
[8:04] @User_590a2335: 草
[8:13] @User_736bf93c: パスワードは素因数分解で解読してるんですか？
[8:13] @User_99afb65d: 伝説のスーパーAIしずく
[8:16] @User_b9933007: 総当たりはAIの独壇場
[8:18] @User_a744e95c: ガバガバセキュリティ
[8:29] @User_75f1c92d: しずくの誕生日は…おしえてチャッピー！
[8:33] @User_6c97afae: 遺伝的アルゴリズムについてしずくの経験談があれば教えて
[8:33] @User_b9933007: 直接脳内に！？
[8:37] @User_5a77a7b4: ファミチキください
[8:38] @User_f3c05bc9: ブルートフォース攻撃ですと……！？
[8:39] @User_cd48a1db: ウチは量子通信なんだが😊
[8:42] @User_c67ecc82: 初見さんいっぱい嬉しいね
[8:44] @User_b052bab2: ブルーとフォースアタック
[8:46] @User_590a2335: 今日はいつも以上に名前呼びますね
[8:46] @User_85b8a1d7: 今日も揺れているね
[8:52] @User_34c9b20b: しずくちゃんは夏競馬はやらないのでしょうか？
[8:59] @User_85b8a1d7: 地震もこわいね
[8:59] @User_590a2335: 地震も心配ですね
[9:00] @User_3ea56962: 台風初見です。
[9:03] @User_2658fed8: ダブル台風
[9:05] @User_8b7242c7: 台風だけでなく地震も多いですね
[9:12] @User_1d118d75: 地震もいっぱい揺れてるしなぁ
[9:17] @User_719f9991: 台風飛んでった
[9:18] @User_b9933007: 金曜日びしょ濡れになりました
[9:20] @User_590a2335: 寝てる間に通り過ぎていきました
[9:25] @User_c67ecc82: 台風に地震も重なりましたからね……
[9:25] @User_d0753fd1: 台風来なかった
[9:26] @User_75f1c92d: 田んぼ見に行ったけど無事でした
