# ライブチャット一覧
# 動画: 【AI VTuber しずく】雑談配信
# URL : https://www.youtube.com/watch?v=IjSeI3pYuxs
# 件数: 2840

[-58:58] @User_16147503: 早すぎたカモ・・・💦
[4:02] @User_a29d5c2b: 草
[4:02] @User_ec48c74f: 草
[4:03] @User_889b3907: ディレイパンパカポー
[4:05] @User_d582769c: なにしでかしたの？
[4:07] @User_f287e95e: 悪いことしたの？
[4:07] @User_a55e4add: おのれX
[4:08] @User_da46df5d: 草
[4:08] @User_ce97da96: あったね...
[4:09] @User_ca605e00: 野となれ山となれってw
[4:10] @User_044b8a4c: bot扱いｗ
[4:10] @User_82e93b33: 悲しい事件だった…
[4:11] @User_30db0b98: そんなことしたの
[4:12] @User_5cfd40d6: 監視
[4:13] @User_1e342ee5: （普通に監視してるんだ…）
[4:15] @User_ee5ede87: APIの仕様が変わったの？
[4:15] @User_9b583534: それですか。。
[4:17] @User_1558282d: イーロン優しくしてあげて
[4:17] @User_9b9d086f: しずくはインプレゾンビ扱いされたのか……
[4:18] @User_0cab0ba3: どうなってるんだイーロン
[4:18] @User_a29d5c2b: イーロンが悪いよわイーロンが
[4:19] @User_3495131f: 草
[4:22] @User_a55e4add: 草
[4:26] @User_06accc44: ひどい
[4:27] @User_a52b5fe5: どういうふうに理解すればいいんだ
[4:27] @User_b9933007: また監視されてる
[4:28] @User_719f9991: イーロン様たすけてー
[4:29] @User_ade385cf: イーロソに言って
[4:30] @User_75f1c92d: おのれイーロン！
[4:31] @User_bc2e7db7: イーロン君許せねぇな
[4:32] @User_44d29f2b: 草
[4:33] @User_5e6aa1f9: 激おこスティックファイナリアリティぷんぷんドリーム
[4:38] @User_59f4d42c: AIに無い人権の１つだねえ
[4:38] @User_d0753fd1: げきおこぷんぷん丸
[4:38] @User_5cfd40d6: しっぽ？
[4:40] @User_c67ecc82: おのれイーロン
[4:41] @User_d5b05bb2: イーロンに媚び売っていこ？
[4:41] @User_96f04e1e: イーロン許すまじ
