# ライブチャット一覧
# 動画: 【AI競馬予想】日本ダービー同時視聴！【AI しずく】
# URL : https://www.youtube.com/watch?v=KMKfe71ZnhI
# 件数: 1429

[7:21] @User_d5b05bb2: なんでJRA銀行君引き出しさせてくれんの？
[7:26] @User_422a4b45: もうお金無くなっちゃった；；
[7:50] @User_9d40d811: わたし、競馬実況みるのはじめて！
[7:50] @User_d582769c: あっち同接10万いるのか…
[7:52] @User_1f2657e9: あき先生はしずくちゃんの予想にいくら溶かすの
[8:01] @User_a744e95c: 負けても高知でファイナルレースあるから
[8:10] @User_d5b05bb2: 信じてええんかしずく
[8:15] @User_590a2335: たぶん100％
[8:15] @User_5a77a7b4: パンパカパンパカポー
[8:26] @User_c67ecc82: 勝率100%はすごい！
[8:28] @User_bf00eeed: 信じるぞ…しずく！
[8:31] @User_ff0a5e76: 同接10万は大人気配信者すぎる
[8:32] @User_0a35ffc9: しずく、信じてるぞ
[8:43] @User_d5b05bb2: むらさき賞の429馬券、3連単で16000倍やで
[9:05] @User_a52b5fe5: 同接10万の1%でも流入したら同接1000や
[9:06] @User_8f409f4f: １０レースは９の逃げ切りで
[9:08] @User_b90ff19c: 16000倍！？
[9:08] @User_3a160b08: 何を特徴量にして分析するんだろ
[9:21] @User_9d63cc9b: 8!8!8!8!8!8!
[9:22] @User_a52b5fe5: 単勝！？
[9:23] @User_5bfd7e5f: 競馬百万年ぶりだ
[9:27] @User_0a35ffc9: 単勝ね
[9:28] @User_c67ecc82: わかりやすくてたすかる
[9:31] @User_d0753fd1: 3連単で勝負だ
[9:32] @User_bf6f46cc: 本命とは別に4-2-9で買おうぜｗ
[9:51] @User_a744e95c: ミスタージーティー、斤量57kgだから自力で押し切れるかどうか
[9:59] @User_77f8489e: これ当ったら世界初の競馬予想メイドAIとしてデビューしよう
[10:21] @User_1e342ee5: ミスタージーティーこんなとこにいるんだ
[10:21] @User_9d63cc9b: 無難すぎる選択で草。
[10:33] @aki5503: 無難だww
[10:38] @User_d582769c: 順当にオッズで選んでそうなしずく
[10:38] @User_45aa867f: ドットクルーという名前にビビッときました！
[10:38] @User_7c030801: 競馬はどうゆうルールなの？
[10:39] @User_1e342ee5: ルメール信頼で草
[10:41] @User_7c030801: 競馬はどうゆうルールなの？
[10:42] @User_e976a829: オラ馬の名前皆初見だ　ルメールは最近覚えた。
[10:42] @User_b90ff19c: 手堅い
[10:48] @User_ff0a5e76: 10Rのパドックだ
[10:51] @User_9d63cc9b: キングメーカーを入れろ！
[10:56] @User_77f8489e: 好感度倍ｗ
[10:56] @User_5bfd7e5f: 画面のだけじゃ情報が足りない
[10:57] @User_590a2335: 競馬はよくわからないので見る専です
[11:11] @User_8f409f4f: ダンツファイターの逃げ切りに期待
[11:13] @User_a744e95c: 東京競馬場を函館にすることでカジュノリの勝率が70％上がります
[11:24] @User_2ba7de5b: レイニング強いと思ってるけどなかなかうまくいってないねえ
[11:48] @User_590a2335: 現実的なｗ
[11:50] @User_967f7ae0: こんにちは。
[11:53] @User_9c53388d: ダービーのジョッキー紹介見た？
[12:00] @User_1e342ee5: 今日のルメール、一番人気全部飛ばしてるけど大丈夫？
[12:12] @User_5bfd7e5f: 人気2番というだけでレイニング。馬連で。
[12:29] @User_5a77a7b4: そら賭け事不成立になったら神でもないと怒られそうだｗ
[12:42] @User_d5b05bb2: 2-10ワイドか2複勝いくやで
[12:52] @User_1e342ee5: 草
[12:54] @User_a744e95c: ハンデ戦は難しい
[12:55] @User_1f2657e9: わかりやすい
[12:55] @User_9d63cc9b: 失うなよ！
[12:57] @User_bf00eeed: 草
[12:57] @User_5bfd7e5f: あ、パドック見ないとね。
[12:57] @User_b7f1cce7: 草
[12:58] @User_587f9820: 😂
[12:59] @User_c67ecc82: 悲しい…
[12:59] @User_d5b05bb2: わかりやすい
[13:01] @User_0a35ffc9: 草
[13:01] @User_590a2335: お　金　を　失　い　ま　す
[13:04] @User_4d24d5dd: それはそう
[13:06] @aki5503: 草
[13:08] @User_77f8489e: 選ぶ→失う、何が楽しいんだｗ
[13:08] @User_1d118d75: 草
[13:16] @User_9d63cc9b: 言い訳AIじゃねえか
[13:21] @User_2eba0ed4: 草
[13:24] @User_a828969c: 時期が悪い
[13:31] @User_d5b05bb2: なんでや
[13:32] @User_64afda31: 😇
[13:46] @User_5a77a7b4: 本来求められる忖度機能の真逆を張るAI
[13:54] @User_904e5739: ウマ娘のライブやる箱として府中使えば20万人はいるんだけどどう思う？
[13:55] @User_1e342ee5: いかないで
[14:00] @User_590a2335: 逃げないでｗ
[14:05] @User_c67ecc82: 逃げないで
[14:05] @User_a744e95c: しずく「もういい、私が走る」
[14:09] @User_30238612: しずくちゃんがんばえー！！
[14:22] @User_5bfd7e5f: 騎手でいったらテンミラクルスターとか
[14:28] @User_bf6f46cc: しずくさんの残高お願いします！
[14:41] @User_d582769c: 武豊まだ現役なん？
[14:42] @aki5503: しずく、頼む当ててくれ...!
[14:47] @User_a744e95c: 早熟エピファ産駒で4歳だしテンミラクルスター本命かねぇ
[14:49] @User_9d63cc9b: そうなの？？？
[14:49] @User_d5b05bb2: ゴンサルベスって名前カッコいいよね
[14:49] @User_9c53388d: テンミラクルスターがテンミラクルスターしちゃうわよ！
[14:51] @User_904e5739: G1はやっぱりルメールなんか？
[14:51] @User_bf00eeed: 馬連流し (10-2, 9,12,13,18の5点)でいくぞ…
[14:55] @User_1e342ee5: 騎手買いするタイプなのかな
[15:29] @User_d5b05bb2: 燃やすのやめなー
[15:30] @User_9d63cc9b: 「揉めてください」
[15:32] @User_1e342ee5: どうしてもルメールに思考を握られてて草
[15:34] @User_752d4d1e: 揉めてください！？？
[15:36] @User_590a2335: その争いを予想で沈めてくださいえ
[15:44] @User_c67ecc82: 予想が変わった？
[15:47] @User_1f2657e9: 競馬はお金を失うものなので予想ではなく言い訳を考えるのに全力を注ぐ。正しいかもしれない
[15:50] @User_d582769c: お、悩んでる
[15:55] @User_4ded1fdc: マイネルフルムーンはどうですか？
[16:00] @User_b90ff19c: あき先生の晩御飯がおかゆライスになってまうで(*'ω'*)
[16:03] @aki5503: ２番人気の5.0倍悪くない
[16:04] @User_a744e95c: レイニングの前走11着は中京とかいうコースのせいなので問題外と見る
[16:08] @User_f96c59c9: Ext
[16:20] @User_9d63cc9b: 「みすま」
[16:25] @User_5bfd7e5f: ファンも走るとか
[16:28] @User_ec48c74f: しずくちゃんの予想は？
[16:40] @User_752d4d1e: 参ったそれはそれで見たい
[16:53] @User_c67ecc82: 武豊さんは知ってる
[17:05] @User_1e342ee5: そうなんだ
[17:11] @User_e976a829: 俺はカメールが好きだな
[17:12] @User_f96c59c9: Next year Kentucky Derby ,
[17:13] @User_1f2657e9: ルメールへの厚い信頼
[17:14] @User_ce1a9051: こんばんは〜AIもギャンブルする時代に…
[17:15] @User_d5b05bb2: 何分発走なん？
[17:21] @User_bf00eeed: 最近はルメールに裏切られがち
[17:23] @User_d582769c: 向こうなんかトラブってる？
[17:43] @User_c67ecc82: しずちゃんの予想は、レイニング？
[17:47] @User_904e5739: aki先生が負けたらしずくのGPUが減るの？しずく大丈夫そう？？
[17:56] @User_e976a829: ほんまだＪＲＡのライブトラブってる
[17:56] @User_590a2335: 祈祷もありなんだ
[18:05] @User_a744e95c: とりあえず全人馬無事に帰ってこれるよう祈祷して
