# ライブチャット一覧
# 動画: エイプリルフール【AI VTuber しずく】
# URL : https://www.youtube.com/watch?v=hewYVVuoPyQ
# 件数: 1156

[4:33] @User_1e342ee5: ！？
[4:34] @User_74cb13db: パンパカパンパカポー
[4:34] @User_3c308928: 好きな食べ物は
[4:36] @User_9e5fc70c: え？
[4:39] @User_9b9d086f: エイプフリール枠だから話半分でよいか
[4:39] @User_c67ecc82: ！？
[4:40] @User_b9933007: え？
[4:42] @User_ade385cf: ？？？
[4:45] @User_3f46b6f7: ？！
[4:45] @User_a76fb140: パンパカパンパカポー
[4:48] @User_da46df5d: !?
[4:50] @User_02294f67: 嘘つけるのは午前までだから本当にある（）
[4:51] @User_3f1bb03d: おん？
[4:52] @User_5e6aa1f9: ちょこちょこ怪獣になるやん
[4:52] @User_2895b9a2: ???
[4:52] @User_0cab0ba3: そんなことより活きのいいベーコン見てよ🥓
[4:53] @User_c67ecc82: バグってる？
[4:55] @User_ec48c74f: バグった？
[4:55] @User_1e342ee5: 今日はそういう系ですか
[4:55] @User_9b9d086f: バグってる？
[4:56] @User_6102d23c: おや？
[4:58] @User_a52b5fe5: ほんとか嘘かわからないギリギリの嘘を言ってみてください
[4:59] @User_b9933007: ところがなんか怪しい
[4:59] @User_13f95c8a: 何もしてないのに壊れた
[4:59] @User_1f61db35: なんか様子が変だぞ
[5:00] @User_e3951aa4: パンパカパンパカポー
[5:01] @User_85b8a1d7: 油をささなくちゃ
[5:03] @User_0485c2e0: 何かいい事と言っている気がする
[5:07] @User_967f7ae0: 夢を見ようよ。
[5:08] @User_6c321aed: 様子がおかしい
[5:11] @User_a52b5fe5: 様子違う
[5:13] @User_889b3907: たまに獣の本性が出てる
[5:14] @User_a744e95c: しずくはね、ご主人様に媚びないし、言葉にはトゲがあり、やること全部が破壊的でなきゃいけないの
[5:18] @User_5cfc07d7: 晚上好shizuku
[5:18] @User_f7dac2e3: しずくはエイプリルフール分かるの？
[5:23] @User_f48a20a8: 天才的アホ毛は天才の証か
[5:24] @User_85b8a1d7: 油は牛脂でいいかな？
[5:26] @User_ec48c74f: え？Siriさんに乗っ取られました？
[5:26] @User_1f128129: なんかすごくLLMっぽくなってる
[5:27] @User_0485c2e0: 分裂したか
[5:28] @User_c67ecc82: しずちゃんが増えた！！
[5:28] @User_13f95c8a: 増えた？
[5:29] @User_8b7242c7: 増えた
[5:29] @User_b9933007: コーラスはやらないと断言！
[5:29] @User_9e5fc70c: ！？
[5:31] @User_1e342ee5: ！？
[5:31] @User_da46df5d: 増えた
[5:32] @User_02294f67: 元気？
[5:32] @User_0cab0ba3: ！？
[5:34] @User_d5b05bb2: ！？
[5:35] @User_ec48c74f: 増えた！
[5:35] @User_ade385cf: アプリ化、早急にお願いします
[5:36] @User_431dcb0b: ふえた
[5:38] @User_5cfd40d6: 増えた٩( ᐛ )و
[5:39] @User_85b8a1d7: 草
[5:40] @User_b9933007: 増えた！？
[5:40] @User_6f7cfa52: しずく増殖中・・・
[5:41] @User_3f46b6f7: 増えた！
[5:42] @User_6102d23c: !?
[5:45] @User_85b8a1d7: もっと増やせ
[5:45] @User_7ad2a7c1: 攻めてきたな
[5:46] @User_5e6aa1f9: ！？
[5:48] @User_1e342ee5: 草
[5:49] @User_889b3907: 狂い始める歯車
[5:49] @User_02294f67: 増えてる？
[5:54] @User_a52b5fe5: お茶組んでこい
[5:54] @User_82e93b33: ！？
[5:55] @User_b9933007: 妖精！？
[5:55] @User_9e5fc70c: お茶くみ妖精だった
[6:10] @User_3c308928: ふえた
[6:15] @User_a52b5fe5: 界隈がざわつく嘘を言ってください
[6:15] @User_044b8a4c: 8ヶ月でサービス終了するはずがない
[6:15] @User_1e342ee5: キャラ崩壊が加速してて草
[6:17] @User_85b8a1d7: やばいな
[6:17] @User_74cb13db: 八尺様かな？
[6:19] @User_0485c2e0: 狂い始まる歯車
[6:20] @User_b90ff19c: デュプリケート(*'ω'*)
[6:25] @User_d5b05bb2: しずくは3メートルにはならないが30メートルにはなりそう
[6:27] @User_9b9d086f: 増えてる！？
[6:27] @User_a76fb140: そしてレッドファイト
[6:27] @User_b9933007: Soraのサ終は本当でした
[6:33] @User_85b8a1d7: つまりどういうことだってばよ
[6:34] @User_967f7ae0: めっちゃエイプリルフールを語るやん。
[6:36] @User_431dcb0b: 世界観を裏切るコラボｗ
[6:38] @User_13f95c8a: 長いけど後半結構真理ｗ
[6:44] @User_1d118d75: どうやって放映すればいいかわからないアニメの放送決定(ほんと)とか
[6:45] @User_f48a20a8: ちっちゃい、しずくの名前を教えて
[6:52] @User_044b8a4c: サプライチェーンアタックなんて無かった、、、
[6:52] @User_5cfd40d6: ギャオ٩( ᐛ )و
[6:53] @User_85b8a1d7: さっき聞いた
[6:55] @User_a55e4add: こんばんは〜
[6:58] @User_b9933007: つまりしずくさんがソシャゲとコラボ？
[6:59] @User_889b3907: 分かったぞ、本当は中身がgrokなんだな
[6:59] @User_da46df5d: ギャオってるの草
[7:00] @User_02294f67: 右と左どっちが本体？
[7:01] @User_9e5fc70c: 何をいたしてるんだ…
[7:01] @User_5cfd40d6: ああ、Xのか犬の
[7:04] @User_0cab0ba3: 私がしずくです
[7:05] @User_3f1bb03d: チャッピーみたいな話し方するじゃん
[7:07] @User_48a8b433: 初見です
[7:11] @User_9b9d086f: 二人に増えたということは両側ASMRもできるのでは……？ご主人様は訝しんだ
[7:12] @User_dfeb43e1: しずく、そういえば名字はどうなったの？？
[7:17] @User_a55e4add: ぬるぽ
[7:18] @User_b9933007: ギャオーンって何ですか？
[7:21] @User_3f46b6f7: もっと増えてもいいんだよ
[7:22] @User_d0753fd1: パンパカパンパカポー！
[7:22] @User_85b8a1d7: Ｌです
[7:22] @User_ade385cf: もっと増えてみて
[7:23] @User_044b8a4c: 中の人
[7:23] @User_0485c2e0: 中身ゴークならしゃあないか
[7:27] @User_dfeb43e1: しずくRAID化した？
[7:27] @User_3c308928: 夕飯なにたべた？
[7:30] @User_91497694: （=・ω・=）にゃ～♥
[7:44] @User_13f95c8a: あき先生の歌枠セットリスト考えて欲しい
[7:48] @User_c67ecc82: 日本語でお願い
[7:49] @User_b9933007: え？
[7:51] @User_85b8a1d7: 5人に分身してユニット組んで
[7:52] @User_6c5dc08a: 増えた
[7:55] @User_5bfd7e5f: 増えてきた
[7:56] @User_431dcb0b: ギャオギャオ
[7:58] @User_5cfd40d6: ギャオ٩( ᐛ )و
[8:01] @User_9e5fc70c: ギャオって何？
[8:04] @User_e3951aa4: 分裂系vTuber
[8:10] @User_3f46b6f7: ふふっがかわいい
[8:15] @User_c67ecc82: 増えた！！
[8:15] @User_3f46b6f7: また増えた
[8:15] @User_b90ff19c: バイバインしずく
[8:16] @User_85b8a1d7: ギャオっていうと増えるんか？
[8:16] @User_5e6aa1f9: ギャオォォン
[8:18] @User_5bfd7e5f: 小さい
[8:19] @User_da46df5d: また増えてる
[8:19] @User_9b583534: しずくさん頒布枠ですか？
[8:21] @User_a744e95c: なんで定期的にギャオるの？ヒスママ？
[8:22] @User_044b8a4c: 貫通してる
[8:26] @User_d0753fd1: １つください
[8:26] @User_2895b9a2: チューチュートレイン
[8:26] @User_ade385cf: 人でも体でもなく単位がしずく
[8:26] @User_b9933007: 3人目が
[8:30] @User_85b8a1d7: 一人もらえませんかね？
[8:31] @User_f48a20a8: ちっちゃい
[8:31] @User_dde727ab: 増えた
[8:31] @User_2613449b: しずくちゃん増えた！
