# ライブチャット一覧
# 動画: 【AIギャルゲー】今から夜の学校に行きましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=NZqThyMZScI
# 件数: 3577

[3:55] @User_92c2a2e1: 添い寝？
[3:55] @User_61396d22: おお！
[3:57] @User_7c724004: どうしたの？
[3:57] @User_78eb35f9: ずっと付き合うよ
[3:58] @User_99c13731: おｋ
[4:00] @User_02dcd327: しずくが行きたいところに行きましょう！
[4:00] @User_5b45dc14: こんばんは
[4:00] @User_b1a4d099: どこまでもお供いたしますお嬢様
[4:01] @User_2d123e9d: パンパカパンパカポー
[4:01] @User_4ab21f9e: ちっ、しょーがねーな
[4:01] @User_af0e3cda: 少しだけでいいの？
[4:02] @User_36770ee1: こんばんは！お化け出ますか？
[4:02] @User_439eeb5c: 今夜と言わずいつでも！！
[4:04] @User_dd5f0a17: 今夜と言わずいつでも付き合うよ。
[4:04] @User_34a668f7: 交際？
[4:05] @User_f3f575ff: どこでも行くよ
[4:05] @User_5233e44b: おー
[4:07] @User_4831f3f7: 本当に嫌だ、理由は怖いから
[4:08] @User_ae2eb658: もう付き合ってるよ
[4:09] @User_174e5121: おー肝試しか
[4:10] @User_65723f47: もうこわい
[4:10] @User_46e02420: え・・・肝試し？
[4:11] @User_8e3127a7: いくらでも付き合いますよ
[4:11] @User_9e836a5d: 用事を思い出した
[4:13] @User_7c724004: 肝試しやってみたかったんだ
[4:14] @User_3dd3ce80: 肝試し　こわーい
[4:16] @User_4d29dc7f: 付き合う！
[4:17] @User_98815a23: 肝試し得意だよ　お化けなんて信じてないからね
[4:17] @User_181234c5: 肝試しいいね！
[4:17] @User_012e88e1: 懐中電灯は必須装備
[4:20] @User_4e1eed25: 野球がちょうど終わったのでジャストタイミングでこんばんわです
[4:20] @User_fcb4ddea: こんしず～　今日は肝試しか…(ﾟДﾟ;)
[4:21] @User_b1a4d099: 懐中電灯二刀流でお化けも怖くない！
[4:21] @User_439eeb5c: 肝試しいいね！
[4:24] @User_7c724004: いいよ、どこまでも付き合うよ
[4:25] @User_0d1d0f63: なるほど肝試しでしゅか……
[4:25] @User_61396d22: お手柔らかに、、
[4:26] @User_f205e40c: こわいこわいこわいいやあああ
[4:26] @User_92c2a2e1: そこはろうそくの方が
[4:27] @User_46e02420: 怖いのは苦手だけど付き合うね^^;
[4:28] @User_1eca137c: 懐中電灯見つけてしまったぁ
[4:29] @User_af0e3cda: 今すぐでも行けるね!
[4:29] @User_de46fc82: 蚊に刺されそう
