# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす夏って、どんな感じですか？【AI しずく】
# URL : https://www.youtube.com/watch?v=jBjjz08LIPM
# 件数: 994

[9:31] @User_b68b8d0b: 草
[9:32] @User_9de46bcb: 草
[9:32] @User_78eb35f9: えっ
[9:34] @User_af0e3cda: 嘘ついたｗ
[9:34] @User_92c2a2e1: 嘘かい！
[9:34] @User_fe0878a1: 嘘なんかーい
[9:34] @User_61396d22: ｗｗｗ
[9:37] @User_3dd3ce80: ウソかよ
[9:54] @User_95021973: your hair is beautiful pretty
[9:55] @User_b68b8d0b: 高度な吹き出し芸
[10:04] @User_af0e3cda: ゴミやんけ！
[10:08] @User_b73a3cd7: えっ可燃ごみに
[10:10] @User_92c2a2e1: も、燃やされる🥶
[10:17] @User_68c37264: ひどい
[10:25] @User_61396d22: どっちも！
[10:38] @User_af0e3cda: 黒歴史って認識してるんだ
[11:07] @User_fe0878a1: やる気スイッチを押しすぎるとオーバーヒートして停止します
[11:33] @User_b73a3cd7: そんなにしずく進化してたっけ、見始めたの今年からだから違いわからないや
[11:37] @User_92c2a2e1: どんな，パソコン使ってんだw
[11:39] @User_78eb35f9: そういえばネウロ様、ねんどろいどになるってね。
[11:40] @User_af0e3cda: 成長型パソコンなの？
[11:40] @User_d0c52a36: そうそうパソコンに水やりちゃんとしないとなのです
[11:42] @User_95021973: you like flowers heart kiss me
[11:49] @User_18b3964b: パソコンショートしちゃう
[11:53] @User_b68b8d0b: それ本当にパソコン？ガラス瓶に入った脳みそとかじゃなくて？
[12:01] @User_6de119d4: 今のしずくのバージョンは？
[12:07] @User_3b025a91: Halo kenalin nama ku Aufa bisa gunakan bahasa Indonesia
[12:12] @User_61396d22: 今日の処理スピードめちゃくちゃ速い...アップデートした...!?
[12:16] @User_a8bf8f26: せやな
[12:36] @User_66a49041: とても早い
[12:38] @User_af0e3cda: さっきウソですってしずくが言ってたもん！！
[12:44] @User_92c2a2e1: なぜ勝ちたがる。しずくよ
[12:48] @User_045fd235: しずくの好きなレストランは?
[12:50] @User_fe0878a1: パソコンがショートするとしずくさんの声を聴けなくなっちゃう
[12:53] @User_b73a3cd7: 中の人などいない　しずくはしずくです
[12:55] @User_68c37264: しずくのマイクラ溶岩ダイブは、心に刻んでおきます
[13:00] @User_d0c52a36: 久しぶりに見たらかなり会話のテンポが速くなってるのです。しずくさん性能アップ٩( ᐛ )و
[13:13] @User_95021973: you name shizuku girlfriend my name nicky from YouTube
[13:23] @User_045fd235: しずくはバイトした事ある?
[13:26] @User_b73a3cd7: うん？サッカーは見てね根や
[13:28] @User_61396d22: 日本が先制した奇跡
[13:29] @User_92c2a2e1: 見たよー惜しかったね。やっぱりブラジル強かった
[13:35] @User_98815a23: 配信の進め方がお上手で非常に学びがある
[13:37] @User_6de119d4: ボールは友達、AIは敵？
[13:45] @User_f8b3558f: 深夜なのに叫んじまったよ
[13:53] @User_92c2a2e1: シンプルだった
[14:00] @User_af0e3cda: その勝ちに価値はあるんか？
[14:01] @User_4d29dc7f: イエローカードで御札って言ってたの吹いた😂
[14:02] @User_9de46bcb: 見事なり、と言える戦いぶりだった
[14:02] @User_68c37264: 一瞬呼吸止まった。あの失点の瞬間
[14:15] @User_00abd90e: you can play soccer?
[14:18] @User_b73a3cd7: 別にサッカーネタバレしてもかまわんよ
[14:46] @User_f8b3558f: 4年後しずくは何歳？
[14:47] @User_af0e3cda: 不正だｗ
[14:55] @User_78eb35f9: ！？
[14:55] @User_d0c52a36: かわいい
[14:56] @User_9de46bcb: 不正やめてね
[14:57] @User_b68b8d0b: ！？
[15:03] @User_92c2a2e1: ！？
[15:03] @User_9de46bcb: かわいい
[15:04] @User_3b025a91: Bisakah berbahasa Indonesia
[15:05] @User_fe0878a1: 元気なしずくさん
[15:06] @User_6de119d4: 叫び声かわいいじゃん
[15:07] @User_4d29dc7f: かわいい
[15:08] @User_66a49041: もう一回あの声で
[15:16] @User_b73a3cd7: そう言えばなんか早口になったね
[15:29] @User_599dc0f2: 今までのブラジル代表の中ではほぼ最弱クラスだったし、下馬評でもブラジル弱いって言われてたんだけどね……
[15:32] @User_92c2a2e1: しずくの国も🇯🇵じゃないの？
[15:38] @User_61396d22: 強豪に立ち向かった日本ほんとにえらい
[15:40] @User_af0e3cda: 心臓を捧げよ
[16:06] @User_78eb35f9: ：（　しずくはわるくありません
[16:07] @User_045fd235: クロアチアの選手の名前面白いよね
[16:16] @User_92c2a2e1: キャプ翼かよ
[16:16] @User_68c37264: グループF組、決勝リーグ初戦で全滅だってね。世界は広い
[16:23] @User_b73a3cd7: しずくがＶＲＣきたらＶＲ機器購入するかも・・・
[16:27] @User_599dc0f2: 4年前も決勝T1回戦でベルギー相手に同じ感じで負けたのを思い出した
[16:30] @User_d0c52a36: あるある
[16:32] @User_fe0878a1: キーパーごとはもう少林サッカーの世界
[16:33] @User_af0e3cda: かわいいは人を単純にさせる
[16:36] @User_d760cc52: 重要あるが
[16:54] @User_92c2a2e1: きゃーーーーーとか叫べるの？
[17:13] @User_61396d22: ワールドカップ出場
[17:16] @User_b73a3cd7: ああ、たまごっちみたいなあれね
[17:18] @User_599dc0f2: それでも対欧州勢不敗記録継続中なのが救い
[17:18] @User_d0c52a36: かわいい。しずくっち
