# ライブチャット一覧
# 動画: 【安田記念】競馬ライブ配信！しずくと予想しましょう【AI しずく】
# URL : https://www.youtube.com/watch?v=ly9aODZuUyw
# 件数: 1034

[13:20] @User_439eeb5c: 結構偏るな
[13:22] @User_0751797b: 脱法じゃん
[13:37] @User_2b12bcf7: ワイドでライジンマルいこう
[13:45] @User_36fcf009: 焼かないで…
[13:47] @User_af0e3cda: 財布焼かないでｗ
[13:53] @User_b73a3cd7: いや、焼かないでおくれ
[13:55] @User_92c2a2e1: 出来ればクッキー焼いて欲しい
[13:55] @@aki5503: 財布は焼かないで
[13:57] @User_11e7336c: 財布焼かないで
[14:02] @User_ae919af5: しずくは東京競馬場グルメどれが好き？
[14:06] @User_0bc16841: しずくはマジェスティックウォリアー産駒とマインドユアビスケッツ産駒とデクラレーションオブウォー産駒でどれが好き～？
[14:07] @User_439eeb5c: クッキーを焼くか財布を焼くか…
[14:13] @User_eb6a203c: 俺の財布は革だし、煮たほうが美味しいんじゃないかな？
[14:15] @User_a718fa5c: 単勝とタン塩って似てるよね
[14:23] @User_5e6c36c3: 焼くのはモチだけにして
[14:31] @User_4cf19b8d: ゴンサルベスの複勝だよ
[14:37] @User_36fcf009: レイアポポのかーちゃんワイルドポポだって
[14:56] @User_b73a3cd7: 焼くのは嫉妬の炎ってか？
[15:00] @User_ff74d689: マジッククッキーは期待されすぎ感を感じるんだよなぁ……素人の見立てだが
[15:04] @User_eb6a203c: 八王子をなんだと……
[15:05] @User_a9e458b9: ちょい穴でプチブールに期待したい
[15:07] @User_af0e3cda: ラップ始まった
[15:19] @User_e48a91b7: マジッククッキー3歳だしやっぱ買いだよな
[15:39] @User_36fcf009: どちらかというと飛んでくれると美味しいんだがという期待っすかねぇ
[15:44] @User_b73a3cd7: 一文字ちがったら某夢の国のネズミだもんなあ
[16:14] @User_36fcf009: ワイド総流しは漢やねぇ
[16:23] @User_a2b794ac: 競馬何もわからんワイにプレゼンして
[16:29] @User_af0e3cda: エンタメ万歳！
[16:43] @User_b2b188c9: 単勝一点買いが知的なの？
[17:03] @User_eb6a203c: しずくオッズ低いのは避ける傾向にあるから最後の最後で予想変えるんじゃ？
[17:09] @User_36fcf009: 新潟競馬場のもち豚串
[17:16] @User_0c437e8f: タン塩じゃないの？
[17:20] @User_439eeb5c: 何気におこづかい200円増えてるｗ
[17:31] @User_8de6d278: 鳥千の唐揚げが至高
[17:44] @User_5e6c36c3: 限定メニューしずくの手料理とかあってほしい
[17:47] @User_3781594c: WIN5買わないの
[17:59] @User_012e88e1: 焼肉屋では出て欲しいなぁタン塩
[18:03] @User_f3f575ff: 豆知識助かる
[18:34] @User_92c2a2e1: ポポポポかわええ
[19:02] @User_23965984: ホウオウプレミア見た目が良い
[19:18] @User_b73a3cd7: ぼく、ポポポ覚えやすい名前でしょ？（カービィの旧名）
[19:59] @User_af0e3cda: 馬券のカスｗ
[20:12] @User_1abf22d1: エムテォエスターテの足取りがしっかりしていた感じ
[20:33] @@aki5503: 焼きクッキー？
[20:35] @User_8de6d278: ベイクドクッキーになってしまう
[20:41] @User_36fcf009: 闇深い遊びやね
[20:47] @User_92c2a2e1: お馬さんの映像は見えてるの？
[20:54] @User_1ec39efd: しずく競馬ちょっとわかる。
[22:21] @User_a2b794ac: オッズ高いの選んだらお金いっぱい返ってくるの？よし…
[22:27] @User_36fcf009: 単勝で5レース全部当てれば確かに自動でwin5当たるけど…
[22:28] @User_8142f876: お、また当てるか！
[22:40] @User_0bc16841: 草
[22:43] @User_36fcf009: ポポポーポポーポポ
[22:46] @User_2b12bcf7: かわいい
[23:15] @User_af0e3cda: お馬さんは車両扱いだから公道走れるんですよね
[23:21] @User_179952c3: wow, so its gambling topic
[23:38] @User_b73a3cd7: 現代では難しいな、石油枯渇後で自動車の代わりに馬に乗るようになったら、馬出社はあり得るかもしれんが
[23:43] @User_1eca137c: パンパカパンパカポー
[24:23] @User_af0e3cda: オヤジの汗までｗｗ
[25:20] @User_0bc16841: フクチャントウメイってなんでフクチャントウメイなの？
[25:40] @User_1eca137c: 今来たからわかってないけど
[25:43] @User_0c437e8f: ステラおばさん？
[25:45] @@aki5503: 草
[25:49] @User_36fcf009: わかる
[25:59] @User_439eeb5c: しずくの目標として、競馬でお小遣いをいくらまで増やす予定？
[26:00] @@aki5503: わかる
[26:09] @User_af0e3cda: 草
[26:36] @User_1eca137c: 今日も単勝一点買い？
[26:40] @User_e48a91b7: 1.5倍なんかに賭けられるか！俺はコーセー・ミュラーに賭けるぜ！
[27:00] @User_a2b794ac: 泣いてるの見てたら慰めてあげて・・・
[27:14] @@aki5503: リリージェーン行こう
[27:23] @User_1eca137c: 天皇陛下が皇居から馬車で出てくるところを見たことあるよ
[27:34] @User_0bc16841: リリージェーンが好きすぎるあき先生
[27:53] @User_e48a91b7: しゃあ！阪神取ったぜ！！
[27:55] @User_5e6c36c3: しずくちゃん、お馬さんは車検無しで公道を走れる軽車両扱いだよ
[27:56] @User_0c437e8f: オッズの魔法使いってな
[28:00] @User_eb6a203c: 根拠のないリリージェーン推ししてもしずくは反映するの？
[28:12] @User_af0e3cda: リリージェーンで一発当てましょ！
[28:13] @User_36fcf009: しずく馬券は投資
[28:14] @User_9b26dc6f: もうあと10分ぐらい？
[28:19] @User_ff74d689: 16番人気リリージェーンを狙うあき先生かっこよすぎる
[28:35] @User_1eca137c: しずくもわかってないのかw
[28:54] @User_1eca137c: 1.6倍はめちゃくちゃ硬いね
[29:15] @User_2b12bcf7: リリージェン狙いは漢すぎる
[29:20] @User_5e6c36c3: ばんえいとかならすぐ叶いそう
[29:27] @User_b73a3cd7: しずくは馬主になる気持ちはあったりする？
[29:34] @User_3781594c: 配当渋いのしずくさんは嫌うのか
[29:41] @User_92c2a2e1: 等身大のしずくパネルは何センチなの？
[29:42] @User_439eeb5c: リリージェーン111.9倍か…これは当てるっきゃない！！
[29:55] @User_0751797b: リリージェーン伸ばそ
[30:01] @User_1ec39efd: 行け！単勝全つっぱ
[30:01] @User_47ccb160: こんにちは
[30:02] @User_3781594c: 高配当を狙う、しずくさんの後輩を狙う？
[30:06] @User_f3f575ff: 入場だ
[30:09] @User_ec5580d6: レイアポポ
[30:10] @User_9b26dc6f: 極端だな～
[30:17] @@aki5503: きた
[30:23] @User_a9e458b9: 戸崎の調子が良くないからマジッククッキーが飛ぶ可能性はあるんだよなぁ……、ポッドベルとプチブールのワイドあたりで……
[30:55] @User_36fcf009: 逆張りしそう
[31:07] @User_1ec39efd: あきてんてーの財布が爆発する。
[31:08] @User_e48a91b7: セルフドラムロールｗｗ
[31:09] @User_a2b794ac: でゅるるるうるるるｗ
[31:11] @User_36fcf009: どぅるるるるるるるるるる
[31:13] @User_b73a3cd7: テレレレレテン
[31:15] @User_0bc16841: とぅるるる
[31:15] @User_1eca137c: 効果音がおもしろいw
[31:19] @User_439eeb5c: だってリリージェーン112倍だもん…
[31:19] @User_a9e458b9: ﾄﾞｩﾙﾙﾙﾙﾙﾙ……
[31:19] @User_af0e3cda: ドラムロールカワイイ
[31:20] @User_f3f575ff: どぅるるるるるるるるる
[31:20] @User_1eca137c: 引っ張るww
[31:22] @User_0face912: どゅるるるるるるるるっｒ
[31:22] @User_eb6a203c: しずくが1番人気買ってる印象ないなぁ
[31:42] @User_b73a3cd7: お、ポケベルにしたのい？
[31:43] @User_b2b188c9: マジッククッキー避けたか
[31:49] @User_1eca137c: 1.6倍はおもしろくないからいい感じ
[31:50] @User_0bc16841: 結果的にリリージェーン民が多いの草
[31:51] @User_e48a91b7: 当たったらクソでかいな…
[31:52] @User_179952c3: no sure about whether this is a real gambling stream or not，anyway, ai looks adorable, subscribed
[31:53] @User_5e6c36c3: ぱぁーん！かわいい
