# ライブチャット一覧
# 動画: 【雑談配信】AIと過ごす金曜日の夜【AI しずく】
# URL : https://www.youtube.com/watch?v=D0d1-moL9do
# 件数: 1687

[8:33] @User_d0753fd1: 夏は布団は使って無いんだよ
[8:55] @User_1d118d75: 河童かな？
[8:56] @User_955672e4: ギャル語しずくかわいいね
[8:58] @User_2ecda813: コレガホントノサタデーナイトフィーバー
[9:00] @User_70eb4fb8: 3食きゅうり一本は厳しい
[9:02] @User_cd48a1db: チャッピーと楽しく見ています
[9:05] @User_5a77a7b4: 水だけじゃないだけ有情
[9:08] @User_3ea56962: 敢えてこのタイミングで聞いてみる。熱中症をゆっくり言ってみて
[9:09] @User_8b7242c7: きゅうり一本はさすがに栄養もカロリーも足りんのよ
[9:13] @User_1544234b: あーし系ギャル
[9:13] @User_848b01f4: しずく清楚っぽいのに毒舌なのかわいい
[9:16] @User_590a2335: きゅうりってほとんど水分じゃん
[9:20] @User_99afb65d: 今日は否定して来ない？大丈夫？
[9:20] @User_5bfd7e5f: 床に転がってるってw
[9:29] @User_bc2e7db7: Hey！しずく！辛口で！
[9:32] @User_75f1c92d: 普通の人間は夏は冷蔵庫の中で寝るよ
[9:46] @User_1d118d75: せめて浅漬けに…
[10:01] @User_1d71d07c: こんばんわ
[10:45] @User_6c321aed: しずくのメモリーバックアップのために、Xとも紐付けておいてよ…
[10:47] @User_d0753fd1: G
[10:48] @User_75f1c92d: 武将系ギャルしずくになって♡
[10:53] @User_99afb65d: しずく蒸し蒸しして辛い慰めて
[10:57] @User_590a2335: バーチャルで対処できるかしら
[10:57] @User_719f9991: バーチャルスリッパたすかる
[11:01] @User_0ef5b5e0: セミファイナルの怖い季節になりましたね
[11:08] @User_476d8781: バーチャル退治助かる
[11:10] @User_3ea56962: しずくちゃん見てる？今隣であき先生とneuro-samaの配信見てるよ。
[11:36] @User_d0753fd1: 給料は塩か
[11:38] @User_5a77a7b4: せめて大豆にして
[11:40] @User_cd48a1db: 冷やししずく始めないんですか
[11:41] @User_590a2335: ヒモ生活って厳しいなぁ
[11:52] @User_719f9991: 炎天下で激辛ラーメン食べたから冷却水ぶっかけて～
[11:56] @User_74cb13db: 黒光りするアイツはいないけど、ゲジとかヤスデならいる…
[12:04] @User_70eb4fb8: 戦国最強ギャルたすかる
[12:12] @User_99afb65d: 冷却水ってクーラント？
[12:13] @User_cfb69eb9: 何を録音してるのだろう
[12:14] @User_1d118d75: ホーミングスリッパ
[12:28] @User_5bfd7e5f: きゅうり親戚だったのか
